Genotype	Provenance	Latitude	Longitude	Elevation	MAT	MWMT	MCMT	TD	MAP	MSP	AHM	SHM	DD_0	DD5	DD_18	DD18	NFFD	bFFP	eFFP	FFP	PAS	EMT	EXT	MAR	Eref	CMD	RH
ISKA06_4	ISKA	56.7	-131.15	73	4	14.2	-7.9	22.1	1479	432	9.4	32.9	783	1126	5113	27	188	136	273	137	587	-35	30.8	9	456	108	71
ISKA06_5	ISKA	56.7	-131.15	73	4	14.2	-7.9	22.1	1479	432	9.4	32.9	783	1126	5113	27	188	136	273	137	587	-35	30.8	9	456	108	71
ISKC06_1	ISKC	56.933333	-130.333333	317	2.6	13.8	-11.2	25	636	220	19.8	62.7	1119	1055	5601	19	159	161	262	102	295	-39.1	31.2	9.9	497	264	67
ISKC06_3	ISKC	56.933333	-130.333333	317	2.6	13.8	-11.2	25	636	220	19.8	62.7	1119	1055	5601	19	159	161	262	102	295	-39.1	31.2	9.9	497	264	67
ISKC06_5	ISKC	56.933333	-130.333333	317	2.6	13.8	-11.2	25	636	220	19.8	62.7	1119	1055	5601	19	159	161	262	102	295	-39.1	31.2	9.9	497	264	67
JASP30_1	JASP	44	-122.916667	150	11.4	18.8	4.4	14.4	1157	184	18.5	102.1	68	2489	2588	160	302	104	310	206	24	-16.2	39.6	13.3	944	469	62
JASP30_3	JASP	44	-122.916667	150	11.4	18.8	4.4	14.4	1157	184	18.5	102.1	68	2489	2588	160	302	104	310	206	24	-16.2	39.6	13.3	944	469	62
JASP30_4	JASP	44	-122.916667	150	11.4	18.8	4.4	14.4	1157	184	18.5	102.1	68	2489	2588	160	302	104	310	206	24	-16.2	39.6	13.3	944	469	62
JASP30_5	JASP	44	-122.916667	150	11.4	18.8	4.4	14.4	1157	184	18.5	102.1	68	2489	2588	160	302	104	310	206	24	-16.2	39.6	13.3	944	469	62
JEFF30_1	JEFF	44.733333	-123.083333	100	11.2	18.7	4.1	14.6	1085	180	19.5	104.1	74	2446	2642	157	300	102	307	205	25	-16.4	39	12.8	915	472	63
JEFF30_2	JEFF	44.733333	-123.083333	100	11.2	18.7	4.1	14.6	1085	180	19.5	104.1	74	2446	2642	157	300	102	307	205	25	-16.4	39	12.8	915	472	63
JEFF30_3	JEFF	44.733333	-123.083333	100	11.2	18.7	4.1	14.6	1085	180	19.5	104.1	74	2446	2642	157	300	102	307	205	25	-16.4	39	12.8	915	472	63
JEFF30_4	JEFF	44.733333	-123.083333	100	11.2	18.7	4.1	14.6	1085	180	19.5	104.1	74	2446	2642	157	300	102	307	205	25	-16.4	39	12.8	915	472	63
KIMB16_1	KIMB	52.933333	-121.166667	823	3.8	14.6	-8.5	23.1	711	344	19.5	42.6	861	1180	5162	25	156	159	255	96	236	-38.4	34	10.5	577	174	59
KIMB16_2	KIMB	52.933333	-121.166667	823	3.8	14.6	-8.5	23.1	711	344	19.5	42.6	861	1180	5162	25	156	159	255	96	236	-38.4	34	10.5	577	174	59
KIMB16_3	KIMB	52.933333	-121.166667	823	3.8	14.6	-8.5	23.1	711	344	19.5	42.6	861	1180	5162	25	156	159	255	96	236	-38.4	34	10.5	577	174	59
KIMB16_4	KIMB	52.933333	-121.166667	823	3.8	14.6	-8.5	23.1	711	344	19.5	42.6	861	1180	5162	25	156	159	255	96	236	-38.4	34	10.5	577	174	59
KIMB16_5	KIMB	52.933333	-121.166667	823	3.8	14.6	-8.5	23.1	711	344	19.5	42.6	861	1180	5162	25	156	159	255	96	236	-38.4	34	10.5	577	174	59
KIMB16_6	KIMB	52.933333	-121.166667	823	3.8	14.6	-8.5	23.1	711	344	19.5	42.6	861	1180	5162	25	156	159	255	96	236	-38.4	34	10.5	577	174	59
KLNA20_3	KLNA	51.116667	-125.583333	30	8.1	16	0.6	15.4	1851	474	9.8	33.8	198	1668	3656	53	262	109	296	187	157	-21.7	33.5	10.4	610	64	73
KLNA20_4	KLNA	51.116667	-125.583333	30	8.1	16	0.6	15.4	1851	474	9.8	33.8	198	1668	3656	53	262	109	296	187	157	-21.7	33.5	10.4	610	64	73
KLNA20_5	KLNA	51.116667	-125.583333	30	8.1	16	0.6	15.4	1851	474	9.8	33.8	198	1668	3656	53	262	109	296	187	157	-21.7	33.5	10.4	610	64	73
KLNC20_2	KLNC	51.533333	-125.55	427	5	15.4	-6.6	22	1133	252	13.2	61.1	713	1367	4765	34	158	158	253	95	454	-39.2	36.2	9	691	353	53
KLND20_1	KLND	51.566667	-125.5	427	5.3	15.8	-6.3	22.1	1050	220	14.6	72	677	1434	4646	41	163	155	255	100	415	-39.1	36.5	10.9	700	384	52
KLND20_2	KLND	51.566667	-125.5	427	5.3	15.8	-6.3	22.1	1050	220	14.6	72	677	1434	4646	41	163	155	255	100	415	-39.1	36.5	10.9	700	384	52
KLND20_3	KLND	51.566667	-125.5	427	5.3	15.8	-6.3	22.1	1050	220	14.6	72	677	1434	4646	41	163	155	255	100	415	-39.1	36.5	10.9	700	384	52
KLNE20_1	KLNE	51.733333	-125.566667	427	5	15.6	-7.2	22.8	1057	192	14.2	81.4	737	1414	4743	37	157	157	251	93	452	-39.9	36.7	11	707	411	52
KLNE20_2	KLNE	51.733333	-125.566667	427	5	15.6	-7.2	22.8	1057	192	14.2	81.4	737	1414	4743	37	157	157	251	93	452	-39.9	36.7	11	707	411	52
KLNE20_3	KLNE	51.733333	-125.566667	427	5	15.6	-7.2	22.8	1057	192	14.2	81.4	737	1414	4743	37	157	157	251	93	452	-39.9	36.7	11	707	411	52
KLNE20_4	KLNE	51.733333	-125.566667	427	5	15.6	-7.2	22.8	1057	192	14.2	81.4	737	1414	4743	37	157	157	251	93	452	-39.9	36.7	11	707	411	52
KLNE20_5	KLNE	51.733333	-125.566667	427	5	15.6	-7.2	22.8	1057	192	14.2	81.4	737	1414	4743	37	157	157	251	93	452	-39.9	36.7	11	707	411	52
KLNG20_3	KLNG	51.3	-125.766667	105	6.2	15	-2.9	17.9	1561	497	10.4	30.2	398	1380	4297	31	193	142	270	128	295	-31.5	34	10.5	640	88	61
KLNG20_4	KLNG	51.3	-125.766667	105	6.2	15	-2.9	17.9	1561	497	10.4	30.2	398	1380	4297	31	193	142	270	128	295	-31.5	34	10.5	640	88	61
KLNG20_6	KLNG	51.3	-125.766667	105	6.2	15	-2.9	17.9	1561	497	10.4	30.2	398	1380	4297	31	193	142	270	128	295	-31.5	34	10.5	640	88	61
KSPA09_3	KSPA	55.766667	-128.533333	518	3.1	13.9	-8.5	22.4	832	326	15.7	42.5	937	1019	5441	22	167	153	262	109	324	-37.4	31.5	10.2	473	137	69
KTMA12_1	KTMA	54.25	-128.516667	122	6	15.8	-4.1	20	1846	393	8.7	40.3	466	1411	4393	47	211	138	282	144	525	-29.8	33.8	10.4	547	138	71
KTMA12_3	KTMA	54.25	-128.516667	122	6	15.8	-4.1	20	1846	393	8.7	40.3	466	1411	4393	47	211	138	282	144	525	-29.8	33.8	10.4	547	138	71
KTMA12_4	KTMA	54.25	-128.516667	122	6	15.8	-4.1	20	1846	393	8.7	40.3	466	1411	4393	47	211	138	282	144	525	-29.8	33.8	10.4	547	138	71
KTMA12_5	KTMA	54.25	-128.516667	122	6	15.8	-4.1	20	1846	393	8.7	40.3	466	1411	4393	47	211	138	282	144	525	-29.8	33.8	10.4	547	138	71
KTMB12_1	KTMB	54.15	-128.583333	61	6.7	16.2	-3.4	19.6	1923	413	8.7	39.3	389	1528	4151	59	229	128	288	160	434	-27.9	33.7	10	539	118	73
KTMB12_5	KTMB	54.15	-128.583333	61	6.7	16.2	-3.4	19.6	1923	413	8.7	39.3	389	1528	4151	59	229	128	288	160	434	-27.9	33.7	10	539	118	73
KTMC12_1	KTMC	54.05	-128.683333	18	6.8	16.1	-3.2	19.3	2151	468	7.8	34.4	374	1529	4123	59	231	126	289	163	451	-27.6	33.4	10.3	535	86	73
KTMC12_2	KTMC	54.05	-128.683333	18	6.8	16.1	-3.2	19.3	2151	468	7.8	34.4	374	1529	4123	59	231	126	289	163	451	-27.6	33.4	10.3	535	86	73
KTMC12_3	KTMC	54.05	-128.683333	18	6.8	16.1	-3.2	19.3	2151	468	7.8	34.4	374	1529	4123	59	231	126	289	163	451	-27.6	33.4	10.3	535	86	73
KTMC12_5	KTMC	54.05	-128.683333	18	6.8	16.1	-3.2	19.3	2151	468	7.8	34.4	374	1529	4123	59	231	126	289	163	451	-27.6	33.4	10.3	535	86	73
KTSG10_5	KTSG	55.1	-127.916667	213	4.2	15.2	-8.2	23.4	658	239	21.6	63.9	830	1253	5031	31	176	147	266	119	234	-36.7	33.4	9.4	559	265	65
KTWF10_3	KTWF	55.083333	-128.183333	177	5	16.1	-7.3	23.3	689	212	21.8	75.9	723	1404	4742	44	185	145	270	125	215	-35.3	34.3	10	588	324	65
LAFY30_1	LAFY	45.2	-123.083333	100	11.2	18.9	4	15	1134	158	18.7	119.7	76	2454	2649	163	302	102	310	208	29	-16.2	39.6	12.7	911	495	63
LAFY30_2	LAFY	45.2	-123.083333	100	11.2	18.9	4	15	1134	158	18.7	119.7	76	2454	2649	163	302	102	310	208	29	-16.2	39.6	12.7	911	495	63
LAFY30_3	LAFY	45.2	-123.083333	100	11.2	18.9	4	15	1134	158	18.7	119.7	76	2454	2649	163	302	102	310	208	29	-16.2	39.6	12.7	911	495	63
LAFY30_5	LAFY	45.2	-123.083333	100	11.2	18.9	4	15	1134	158	18.7	119.7	76	2454	2649	163	302	102	310	208	29	-16.2	39.6	12.7	911	495	63
LILA26_3	LILA	50.616667	-123.383333	411	6.3	16.8	-4.8	21.6	746	167	21.8	100.6	542	1609	4317	66	187	145	268	123	250	-32.6	37.1	11	717	448	59
LILA26_4	LILA	50.616667	-123.383333	411	6.3	16.8	-4.8	21.6	746	167	21.8	100.6	542	1609	4317	66	187	145	268	123	250	-32.6	37.1	11	717	448	59
LILB26_1	LILB	50.55	-123.2	274	6	16.6	-5	21.5	791	184	20.2	90.1	559	1530	4415	55	186	145	268	122	270	-32.8	35.8	11.2	693	409	61
LILB26_2	LILB	50.55	-123.2	274	6	16.6	-5	21.5	791	184	20.2	90.1	559	1530	4415	55	186	145	268	122	270	-32.8	35.8	11.2	693	409	61
LILB26_3	LILB	50.55	-123.2	274	6	16.6	-5	21.5	791	184	20.2	90.1	559	1530	4415	55	186	145	268	122	270	-32.8	35.8	11.2	693	409	61
LILB26_5	LILB	50.55	-123.2	274	6	16.6	-5	21.5	791	184	20.2	90.1	559	1530	4415	55	186	145	268	122	270	-32.8	35.8	11.2	693	409	61
LILC26_1	LILC	50.5	-123	271	6.4	17.2	-5.2	22.4	914	185	18	93.1	549	1664	4275	74	197	137	270	133	318	-32.4	36.6	11.7	722	424	62
LILC26_2	LILC	50.5	-123	271	6.4	17.2	-5.2	22.4	914	185	18	93.1	549	1664	4275	74	197	137	270	133	318	-32.4	36.6	11.7	722	424	62
LILC26_3	LILC	50.5	-123	271	6.4	17.2	-5.2	22.4	914	185	18	93.1	549	1664	4275	74	197	137	270	133	318	-32.4	36.6	11.7	722	424	62
LILC26_4	LILC	50.5	-123	271	6.4	17.2	-5.2	22.4	914	185	18	93.1	549	1664	4275	74	197	137	270	133	318	-32.4	36.6	11.7	722	424	62
LILC26_5	LILC	50.5	-123	271	6.4	17.2	-5.2	22.4	914	185	18	93.1	549	1664	4275	74	197	137	270	133	318	-32.4	36.6	11.7	722	424	62
LILD26_3	LILD	50.3	-122.75	222	6.6	17.2	-4.5	21.7	886	205	18.7	83.7	506	1665	4217	74	199	140	272	132	263	-30.8	36.7	11.4	723	392	63
LILD26_4	LILD	50.3	-122.75	222	6.6	17.2	-4.5	21.7	886	205	18.7	83.7	506	1665	4217	74	199	140	272	132	263	-30.8	36.7	11.4	723	392	63
LNZK28_2	LNZK	49.233333	-124.066667	60	9.2	17	2.4	14.7	1066	197	18	86.4	129	1899	3281	75	287	103	305	202	58	-18.1	34.6	11.3	643	268	74
LNZK28_3	LNZK	49.233333	-124.066667	60	9.2	17	2.4	14.7	1066	197	18	86.4	129	1899	3281	75	287	103	305	202	58	-18.1	34.6	11.3	643	268	74
LNZK28_4	LNZK	49.233333	-124.066667	60	9.2	17	2.4	14.7	1066	197	18	86.4	129	1899	3281	75	287	103	305	202	58	-18.1	34.6	11.3	643	268	74
LNZK28_5	LNZK	49.233333	-124.066667	60	9.2	17	2.4	14.7	1066	197	18	86.4	129	1899	3281	75	287	103	305	202	58	-18.1	34.6	11.3	643	268	74
LONG29_1	LONG	46.083333	-123.916667	100	10.1	15.3	4.7	10.7	2125	354	9.4	43.3	68	1997	2932	42	313	90	318	228	45	-14.4	33.2	11.5	687	125	72
LONG29_2	LONG	46.083333	-123.916667	100	10.1	15.3	4.7	10.7	2125	354	9.4	43.3	68	1997	2932	42	313	90	318	228	45	-14.4	33.2	11.5	687	125	72
LONG29_4	LONG	46.083333	-123.916667	100	10.1	15.3	4.7	10.7	2125	354	9.4	43.3	68	1997	2932	42	313	90	318	228	45	-14.4	33.2	11.5	687	125	72
LONG29_5	LONG	46.083333	-123.916667	100	10.1	15.3	4.7	10.7	2125	354	9.4	43.3	68	1997	2932	42	313	90	318	228	45	-14.4	33.2	11.5	687	125	72
MCFA20_1	MCFA	51.316667	-126.233333	275	5.9	13.8	-1.8	15.7	2571	491	6.2	28.1	346	1175	4423	19	204	142	278	136	540	-28	31.8	9.2	572	24	68
MCFA20_2	MCFA	51.316667	-126.233333	275	5.9	13.8	-1.8	15.7	2571	491	6.2	28.1	346	1175	4423	19	204	142	278	136	540	-28	31.8	9.2	572	24	68
MCFA20_3	MCFA	51.316667	-126.233333	275	5.9	13.8	-1.8	15.7	2571	491	6.2	28.1	346	1175	4423	19	204	142	278	136	540	-28	31.8	9.2	572	24	68
MCFA20_4	MCFA	51.316667	-126.233333	275	5.9	13.8	-1.8	15.7	2571	491	6.2	28.1	346	1175	4423	19	204	142	278	136	540	-28	31.8	9.2	572	24	68
MCFA20_5	MCFA	51.316667	-126.233333	275	5.9	13.8	-1.8	15.7	2571	491	6.2	28.1	346	1175	4423	19	204	142	278	136	540	-28	31.8	9.2	572	24	68
MCFA20_6	MCFA	51.316667	-126.233333	275	5.9	13.8	-1.8	15.7	2571	491	6.2	28.1	346	1175	4423	19	204	142	278	136	540	-28	31.8	9.2	572	24	68
MCGR15_4	MCGR	54.183333	-122	579	3.7	15.4	-10.5	25.9	883	348	15.5	44.4	1011	1285	5232	31	164	151	257	106	361	-40.5	34.4	11	568	185	60
MCGR15_6	MCGR	54.183333	-122	579	3.7	15.4	-10.5	25.9	883	348	15.5	44.4	1011	1285	5232	31	164	151	257	106	361	-40.5	34.4	11	568	185	60
MCGR15_7	MCGR	54.183333	-122	579	3.7	15.4	-10.5	25.9	883	348	15.5	44.4	1011	1285	5232	31	164	151	257	106	361	-40.5	34.4	11	568	185	60
MCGR15_8	MCGR	54.183333	-122	579	3.7	15.4	-10.5	25.9	883	348	15.5	44.4	1011	1285	5232	31	164	151	257	106	361	-40.5	34.4	11	568	185	60
MCHA19_1	MCHA	51.633333	-126.683333	70	7.3	14.6	0.5	14.1	2414	474	7.2	30.8	208	1396	3920	27	250	124	293	168	252	-22.5	32.2	9.9	563	23	73
MCHA19_2	MCHA	51.633333	-126.683333	70	7.3	14.6	0.5	14.1	2414	474	7.2	30.8	208	1396	3920	27	250	124	293	168	252	-22.5	32.2	9.9	563	23	73
MCHA19_3	MCHA	51.633333	-126.683333	70	7.3	14.6	0.5	14.1	2414	474	7.2	30.8	208	1396	3920	27	250	124	293	168	252	-22.5	32.2	9.9	563	23	73
MCHA19_4	MCHA	51.633333	-126.683333	70	7.3	14.6	0.5	14.1	2414	474	7.2	30.8	208	1396	3920	27	250	124	293	168	252	-22.5	32.2	9.9	563	23	73
MCHA19_5	MCHA	51.633333	-126.683333	70	7.3	14.6	0.5	14.1	2414	474	7.2	30.8	208	1396	3920	27	250	124	293	168	252	-22.5	32.2	9.9	563	23	73
MCHB19_1	MCHB	51.616667	-126.583333	122	6.5	14.1	-0.8	14.9	2723	469	6.1	30	278	1264	4200	22	218	140	284	144	443	-26.2	31.7	8.3	575	50	68
MCHB19_2	MCHB	51.616667	-126.583333	122	6.5	14.1	-0.8	14.9	2723	469	6.1	30	278	1264	4200	22	218	140	284	144	443	-26.2	31.7	8.3	575	50	68
MCHB19_3	MCHB	51.616667	-126.583333	122	6.5	14.1	-0.8	14.9	2723	469	6.1	30	278	1264	4200	22	218	140	284	144	443	-26.2	31.7	8.3	575	50	68
MCHB19_4	MCHB	51.616667	-126.583333	122	6.5	14.1	-0.8	14.9	2723	469	6.1	30	278	1264	4200	22	218	140	284	144	443	-26.2	31.7	8.3	575	50	68
MCHB19_5	MCHB	51.616667	-126.583333	122	6.5	14.1	-0.8	14.9	2723	469	6.1	30	278	1264	4200	22	218	140	284	144	443	-26.2	31.7	8.3	575	50	68
MCMN27_3	MCMN	49.183333	-122.583333	15	9.8	17.4	2.3	15.2	1567	348	12.6	50.1	119	2073	3090	94	292	97	308	211	68	-18.5	35.6	11.4	684	158	72
MEMA28_1	MEMA	50.216667	-125.8	30	8.2	16.2	0.6	15.6	1630	319	11.2	50.8	195	1702	3619	55	261	119	293	174	155	-20.9	34.3	11	658	185	71
MEMA28_3	MEMA	50.216667	-125.8	30	8.2	16.2	0.6	15.6	1630	319	11.2	50.8	195	1702	3619	55	261	119	293	174	155	-20.9	34.3	11	658	185	71
MEMA28_4	MEMA	50.216667	-125.8	30	8.2	16.2	0.6	15.6	1630	319	11.2	50.8	195	1702	3619	55	261	119	293	174	155	-20.9	34.3	11	658	185	71
MEMA28_5	MEMA	50.216667	-125.8	30	8.2	16.2	0.6	15.6	1630	319	11.2	50.8	195	1702	3619	55	261	119	293	174	155	-20.9	34.3	11	658	185	71
MTSM27_2	MTSM	49.116667	-122.333333	8	10	17.6	2.5	15.1	1611	359	12.4	49	112	2133	3017	104	297	93	310	217	64	-18.2	35.9	11.7	697	158	72
MTSM27_3	MTSM	49.116667	-122.333333	8	10	17.6	2.5	15.1	1611	359	12.4	49	112	2133	3017	104	297	93	310	217	64	-18.2	35.9	11.7	697	158	72
MTSM27_5	MTSM	49.116667	-122.333333	8	10	17.6	2.5	15.1	1611	359	12.4	49	112	2133	3017	104	297	93	310	217	64	-18.2	35.9	11.7	697	158	72
NASC08_2	NASC	55.05	-129.5	24	5.6	14.5	-4.3	18.8	1714	426	9.1	34	467	1253	4529	35	212	133	282	149	451	-30.3	31.3	8.3	492	76	73
NASC08_5	NASC	55.05	-129.5	24	5.6	14.5	-4.3	18.8	1714	426	9.1	34	467	1253	4529	35	212	133	282	149	451	-30.3	31.3	8.3	492	76	73
NASD08_2	NASD	55.216667	-129.133333	58	6.3	15.9	-4.5	20.5	1055	282	15.4	56.4	489	1517	4307	59	215	132	282	151	295	-30.8	34.1	9.7	555	228	70
NASD08_4	NASD	55.216667	-129.133333	58	6.3	15.9	-4.5	20.5	1055	282	15.4	56.4	489	1517	4307	59	215	132	282	151	295	-30.8	34.1	9.7	555	228	70
NASD08_5	NASD	55.216667	-129.133333	58	6.3	15.9	-4.5	20.5	1055	282	15.4	56.4	489	1517	4307	59	215	132	282	151	295	-30.8	34.1	9.7	555	228	70
NASF08_2	NASF	55.566667	-128.783333	152	5.1	16	-6.6	22.6	703	260	21.5	61.7	675	1378	4708	46	188	143	269	126	214	-35.2	33.4	9.7	571	265	65
NASH08_1	NASH	55.716667	-128.816667	183	4.7	15.8	-6.9	22.7	661	295	22.2	53.7	735	1310	4868	40	183	145	266	122	193	-35.5	33.2	9.9	562	227	65
NASH08_4	NASH	55.716667	-128.816667	183	4.7	15.8	-6.9	22.7	661	295	22.2	53.7	735	1310	4868	40	183	145	266	122	193	-35.5	33.2	9.9	562	227	65
NASH08_5	NASH	55.716667	-128.816667	183	4.7	15.8	-6.9	22.7	661	295	22.2	53.7	735	1310	4868	40	183	145	266	122	193	-35.5	33.2	9.9	562	227	65
NBON29_1	NBON	45.583333	-122	300	8.5	16.7	0.6	16.2	2455	384	7.6	43.6	178	1796	3498	66	237	143	289	147	226	-23.4	36.5	13.7	825	220	62
NBON29_2	NBON	45.583333	-122	300	8.5	16.7	0.6	16.2	2455	384	7.6	43.6	178	1796	3498	66	237	143	289	147	226	-23.4	36.5	13.7	825	220	62
NHTA27_2	NHTA	50	-121.566667	213	8.3	19.5	-3.2	22.6	729	135	25.1	144.5	373	2076	3693	179	220	128	282	154	179	-29.6	39.1	10.2	792	506	61
NHTA27_3	NHTA	50	-121.566667	213	8.3	19.5	-3.2	22.6	729	135	25.1	144.5	373	2076	3693	179	220	128	282	154	179	-29.6	39.1	10.2	792	506	61
NHTB27_1	NHTB	49.966667	-121.816667	335	7.2	18	-3.5	21.5	1097	186	15.7	96.7	431	1763	4036	99	200	142	277	136	311	-30.4	37.9	10.1	739	395	60
NHTB27_2	NHTB	49.966667	-121.816667	335	7.2	18	-3.5	21.5	1097	186	15.7	96.7	431	1763	4036	99	200	142	277	136	311	-30.4	37.9	10.1	739	395	60
NHTB27_4	NHTB	49.966667	-121.816667	335	7.2	18	-3.5	21.5	1097	186	15.7	96.7	431	1763	4036	99	200	142	277	136	311	-30.4	37.9	10.1	739	395	60
NHTB27_5	NHTB	49.966667	-121.816667	335	7.2	18	-3.5	21.5	1097	186	15.7	96.7	431	1763	4036	99	200	142	277	136	311	-30.4	37.9	10.1	739	395	60
NKND03_2	NKND	58.933333	-133.183333	122	2.4	14.9	-12.5	27.3	434	173	28.5	86.2	1290	1161	5688	26	147	163	254	91	199	-41.1	33.8	10	526	320	59
NPLN30_3	NPLN	45.566667	-123	100	11.1	18.8	3.8	15.1	1054	169	20	111.5	79	2441	2670	162	303	99	312	213	28	-16.3	38.8	12.5	876	463	65
NPLN30_4	NPLN	45.566667	-123	100	11.1	18.8	3.8	15.1	1054	169	20	111.5	79	2441	2670	162	303	99	312	213	28	-16.3	38.8	12.5	876	463	65
PHLA22_1	PHLA	50.6	-125.316667	5	7.3	15.6	-0.1	15.7	2279	493	7.6	31.6	246	1486	3938	38	225	135	286	151	294	-25	33.9	12.1	634	88	67
PHLA22_2	PHLA	50.6	-125.316667	5	7.3	15.6	-0.1	15.7	2279	493	7.6	31.6	246	1486	3938	38	225	135	286	151	294	-25	33.9	12.1	634	88	67
PHLA22_3	PHLA	50.6	-125.316667	5	7.3	15.6	-0.1	15.7	2279	493	7.6	31.6	246	1486	3938	38	225	135	286	151	294	-25	33.9	12.1	634	88	67
PHLA22_4	PHLA	50.6	-125.316667	5	7.3	15.6	-0.1	15.7	2279	493	7.6	31.6	246	1486	3938	38	225	135	286	151	294	-25	33.9	12.1	634	88	67
PHLA22_5	PHLA	50.6	-125.316667	5	7.3	15.6	-0.1	15.7	2279	493	7.6	31.6	246	1486	3938	38	225	135	286	151	294	-25	33.9	12.1	634	88	67
PHLC22_1	PHLC	50.683333	-125.25	58	6.8	15.1	-0.7	15.8	2276	523	7.4	28.9	285	1380	4108	31	224	132	285	153	347	-25.4	33.2	10.9	599	68	69
PHLC22_2	PHLC	50.683333	-125.25	58	6.8	15.1	-0.7	15.8	2276	523	7.4	28.9	285	1380	4108	31	224	132	285	153	347	-25.4	33.2	10.9	599	68	69
PHLC22_3	PHLC	50.683333	-125.25	58	6.8	15.1	-0.7	15.8	2276	523	7.4	28.9	285	1380	4108	31	224	132	285	153	347	-25.4	33.2	10.9	599	68	69
PHLC22_4	PHLC	50.683333	-125.25	58	6.8	15.1	-0.7	15.8	2276	523	7.4	28.9	285	1380	4108	31	224	132	285	153	347	-25.4	33.2	10.9	599	68	69
PHLC22_5	PHLC	50.683333	-125.25	58	6.8	15.1	-0.7	15.8	2276	523	7.4	28.9	285	1380	4108	31	224	132	285	153	347	-25.4	33.2	10.9	599	68	69
PITS29_1	PITS	45.833333	-123.116667	900	7.8	15.9	-0.4	16.3	2531	273	7	58.2	219	1630	3732	44	272	120	300	180	340	-19.6	34.9	12.7	679	238	75
QAUS16_1	QAUS	52.716667	-122.466667	442	5.4	17.3	-8.7	26	474	236	32.4	73.4	799	1611	4659	71	178	142	263	121	140	-38.4	36.2	10.9	682	374	58
QAUS16_3	QAUS	52.716667	-122.466667	442	5.4	17.3	-8.7	26	474	236	32.4	73.4	799	1611	4659	71	178	142	263	121	140	-38.4	36.2	10.9	682	374	58
QAUS16_4	QAUS	52.716667	-122.466667	442	5.4	17.3	-8.7	26	474	236	32.4	73.4	799	1611	4659	71	178	142	263	121	140	-38.4	36.2	10.9	682	374	58
QAUS16_7	QAUS	52.716667	-122.466667	442	5.4	17.3	-8.7	26	474	236	32.4	73.4	799	1611	4659	71	178	142	263	121	140	-38.4	36.2	10.9	682	374	58
QBKR16_3	QBKR	52.95	-122.866667	823	3	14.5	-9.8	24.3	547	275	23.8	52.7	1038	1114	5453	20	149	160	252	91	199	-41.9	33.1	10.6	557	236	58
QBKR16_4	QBKR	52.95	-122.866667	823	3	14.5	-9.8	24.3	547	275	23.8	52.7	1038	1114	5453	20	149	160	252	91	199	-41.9	33.1	10.6	557	236	58
QBKR16_5	QBKR	52.95	-122.866667	823	3	14.5	-9.8	24.3	547	275	23.8	52.7	1038	1114	5453	20	149	160	252	91	199	-41.9	33.1	10.6	557	236	58
QCTN16_1	QCTN	53.033333	-122.15	823	3.6	14.9	-9	23.9	612	285	22.2	52.2	929	1177	5249	24	161	152	257	105	224	-39.1	33.2	11.2	554	217	61
QCTN16_3	QCTN	53.033333	-122.15	823	3.6	14.9	-9	23.9	612	285	22.2	52.2	929	1177	5249	24	161	152	257	105	224	-39.1	33.2	11.2	554	217	61
QCTN16_4	QCTN	53.033333	-122.15	823	3.6	14.9	-9	23.9	612	285	22.2	52.2	929	1177	5249	24	161	152	257	105	224	-39.1	33.2	11.2	554	217	61
QFRS16_1	QFRS	53.066667	-122.516667	472	4.9	16.6	-8.8	25.4	520	253	28.7	65.8	823	1495	4794	53	173	146	261	116	159	-38.8	35.3	11.1	655	327	58
QFRS16_2	QFRS	53.066667	-122.516667	472	4.9	16.6	-8.8	25.4	520	253	28.7	65.8	823	1495	4794	53	173	146	261	116	159	-38.8	35.3	11.1	655	327	58
QFRS16_3	QFRS	53.066667	-122.516667	472	4.9	16.6	-8.8	25.4	520	253	28.7	65.8	823	1495	4794	53	173	146	261	116	159	-38.8	35.3	11.1	655	327	58
QFRS16_4	QFRS	53.066667	-122.516667	472	4.9	16.6	-8.8	25.4	520	253	28.7	65.8	823	1495	4794	53	173	146	261	116	159	-38.8	35.3	11.1	655	327	58
QFRS16_5	QFRS	53.066667	-122.516667	472	4.9	16.6	-8.8	25.4	520	253	28.7	65.8	823	1495	4794	53	173	146	261	116	159	-38.8	35.3	11.1	655	327	58
QLKE16_1	QLKE	52.966667	-122.316667	488	4.7	16.5	-9	25.5	534	255	27.6	64.4	855	1458	4865	49	168	149	259	111	171	-39.1	35.3	11.2	655	324	58
QLKE16_2	QLKE	52.966667	-122.316667	488	4.7	16.5	-9	25.5	534	255	27.6	64.4	855	1458	4865	49	168	149	259	111	171	-39.1	35.3	11.2	655	324	58
QLKE16_3	QLKE	52.966667	-122.316667	488	4.7	16.5	-9	25.5	534	255	27.6	64.4	855	1458	4865	49	168	149	259	111	171	-39.1	35.3	11.2	655	324	58
QLKE16_4	QLKE	52.966667	-122.316667	488	4.7	16.5	-9	25.5	534	255	27.6	64.4	855	1458	4865	49	168	149	259	111	171	-39.1	35.3	11.2	655	324	58
SHEL15_1	SHEL	54.033333	-122.6	564	3.9	15.5	-9.8	25.2	711	283	19.6	54.7	952	1306	5134	33	168	146	258	112	278	-40	34	11.2	565	234	60
SHEL15_2	SHEL	54.033333	-122.6	564	3.9	15.5	-9.8	25.2	711	283	19.6	54.7	952	1306	5134	33	168	146	258	112	278	-40	34	11.2	565	234	60
