Genotype	Year	Provenance	Deme	Genetics	Population	Latitude	Longitude	Elevation	Height	Volume	Growth.rate	H.D	Amax	Amax.mass	LMAsummer	deltaleaf	delta15N	gs	C.N	Narea	Nmass	NUE	WUE	Growth.period	Budset	Canopy.duration	Leaf.drop	Post.budset.period	fitness
HIXN16_1	2009	HIXN	North	0.306819161	16	53.4	122.63	578	154	85.3	0.62	106.4	23.07	0.3266	0.07109	NA	1.831	0.415	17.36	0.001945	0.02752	11.86	4.129	195.5	222	284	310.5	88.5	121.6
HIXN16_5	2009	HIXN	North	0.307820839	16	53.4	122.63	578	194.5	251.3	0.75	95	22.4	0.2705	0.08317	NA	2.147	0.4843	19.03	0.00205	0.02451	11.17	3.584	193.8	237.8	278.3	322.3	84.5	142.2
KIMB16_1	2009	KIMB	North	0.29154972	16	52.93	121.17	823	151	221.4	0.63	86.3	22.99	0.2604	0.08891	19.24	2.259	0.3612	18.27	0.002432	0.02705	10.13	4.714	210.7	236	291.3	312	80.7	98.7
KIMB16_2	2009	KIMB	North	0.296879441	16	NA	NA	NA	237.8	481.5	0.85	94	22.25	0.2898	0.07713	19.21	1.915	0.4248	16.38	0.002283	0.03002	9.73	4.056	207.5	248.8	295.5	336.8	88	175.2
KIMB16_3	2009	KIMB	North	0.292618042	16	52.93	121.17	823	215.5	259.3	0.85	113.6	19.93	0.2678	0.07492	NA	1.859	0.3469	17.26	0.002056	0.02765	9.86	4.316	202.5	237.8	270.8	306	68.3	170.1
KIMB16_4	2009	KIMB	North	0.308688462	16	52.93	121.17	823	117.5	74.2	0.44	83.1	21.02	0.2467	0.08519	NA	2.67	0.4531	21.25	0.001984	0.02356	10.89	3.651	178	211.5	277.7	307.8	99.7	86.2
KIMB16_5	2009	KIMB	North	0.312893217	16	52.93	121.17	823	145.8	123.8	0.45	83.6	20.53	0.2659	0.0773	NA	1.14	0.451	19.29	0.001873	0.02435	10.96	3.492	174.8	213.3	272.3	310.8	97.5	80
KIMB16_6	2009	KIMB	North	0.31713951	16	52.93	121.17	823	102.8	28.1	0.37	102.5	22.63	0.2781	0.08213	19.55	1.996	0.4604	18.6	0.002165	0.02592	11.55	3.852	157	199.3	266.3	298	109.3	59.3
QAUS16_1	2009	QAUS	North	0.301808601	16	52.72	122.47	442	171	114.1	0.72	114.6	23.45	0.2875	0.08169	NA	1.42	0.5177	16.57	0.002375	0.02971	10.01	3.597	196.7	237.8	270.3	312.8	73.7	127.7
QAUS16_3	2009	QAUS	North	0.299235944	16	52.72	122.47	442	243.5	242.1	1.09	131.1	17.46	0.2653	0.06652	18.18	0.938	0.3369	15.8	0.001979	0.02969	9	3.738	182.7	243	251.7	310.5	69	196
QAUS16_4	2009	QAUS	North	0.314233776	16	52.72	122.47	442	259.3	451.7	0.82	105.4	24.18	0.2864	0.08492	18.79	2.332	0.4218	19.03	0.002144	0.02524	11.29	4.294	224.5	252.8	294	322.3	69.5	184.5
QAUS16_7	2009	QAUS	North	0.30071986	16	52.72	122.47	442	169.3	101	0.89	118	23.28	0.3028	0.07738	NA	1.283	0.5312	18.33	0.002002	0.02594	11.73	3.457	166.3	229	241	310	74.7	149
QBKR16_3	2009	QBKR	North	0.299492727	16	52.95	122.87	823	135.5	163.4	0.49	76.1	19.28	0.2247	0.09008	NA	2.395	0.3615	22.03	0.001997	0.0225	10.09	4.241	169.8	231.7	250	304.3	80.3	97
QBKR16_4	2009	QBKR	North	0.29191979	16	52.95	122.87	823	186	278.7	0.62	79.2	19.97	0.2565	0.07732	NA	0.629	0.4021	20.18	0.001783	0.02315	11.15	3.763	195.5	225.5	268	298	72.5	118.5
QBKR16_5	2009	QBKR	North	0.294347483	16	52.95	122.87	823	171.5	112	0.7	112.5	22.98	0.3142	0.07279	NA	1.788	0.4792	14.89	0.002051	0.02802	11.06	3.738	199	230.8	278.5	310.3	79.5	141.6
QCTN16_1	2009	QCTN	North	0.294774336	16	53.03	122.15	823	177.3	118.4	0.82	115.5	21.84	0.333	0.06582	20.49	2.09	0.5472	14.99	0.002077	0.03179	10.68	3.096	171	218.5	254.8	302.3	83.8	133.8
QCTN16_3	2009	QCTN	North	0.288386993	16	53.03	122.15	823	221.5	386.8	0.7	88.9	24.27	0.302	0.08087	NA	2.017	0.5204	17.7	0.002185	0.02746	11.08	3.636	200.8	227.3	289.5	316	88.8	141.2
QCTN16_4	2009	QCTN	North	0.293213497	16	NA	NA	NA	286.5	919.1	0.76	85.8	21.16	0.2647	0.08279	NA	1.7	0.3707	18.28	0.002188	0.02724	9.64	4.223	221	254.3	303.5	336.8	82.5	169.5
QFRS16_1	2009	QFRS	North	0.313796643	16	53.07	122.52	472	200.3	190.2	0.88	111.7	16.54	0.2475	0.06709	19.86	2.035	0.3866	20.36	0.001537	0.02288	11.02	3.183	180	245	245.8	310.8	65.8	158.9
QFRS16_2	2009	QFRS	North	0.295631538	16	53.07	122.52	472	173	165.7	0.76	110.9	20.46	0.2612	0.08012	NA	2.049	0.3643	20.18	0.001899	0.02425	10.89	4.133	175.5	236	261.5	322	86	135.7
QFRS16_3	2009	QFRS	North	0.304020979	16	53.07	122.52	472	204.3	260.6	0.98	97.1	16.4	0.2128	0.07668	19.28	1.758	0.3577	18.73	0.001922	0.02509	8.86	3.435	175.5	239.5	262	326	86.5	171.5
QFRS16_4	2009	QFRS	North	0.301150839	16	53.07	122.52	472	269.8	431.1	1.13	110.3	21.91	0.2727	0.08148	NA	1.551	0.354	16.06	0.002393	0.02965	9.18	4.682	183.8	247	253.5	316.8	69.8	205.3
QFRS16_5	2009	QFRS	North	0.293377692	16	53.07	122.52	472	94.3	26.9	NA	104.4	20.28	0.2423	0.08418	19.95	1.992	0.3147	21.61	0.001844	0.02171	11.22	4.637	NA	236	NA	316.8	NA	NA
QLKE16_1	2009	QLKE	North	0.290876783	16	52.97	122.32	488	184.8	135.1	0.81	125	20.91	0.2707	0.07213	19.84	1.96	0.3693	17.46	0.001949	0.02717	9.9	4.312	190.3	243	271.3	324	81	155.5
QLKE16_2	2009	QLKE	North	0.30513021	16	52.97	122.32	488	214	398.3	0.7	88.8	20.59	0.1964	0.10153	NA	2.367	0.4194	20.75	0.002268	0.0227	8.7	3.69	197.5	222.3	289.8	314.5	92.3	140.2
QLKE16_3	2009	QLKE	North	0.302655245	16	52.97	122.32	488	154.5	96.6	0.67	103.7	17.46	0.2232	0.07906	NA	1.159	0.3143	22.92	0.001667	0.02133	10.6	4.068	192.8	247	262.5	316.8	69.8	130.2
QLKE16_4	2009	QLKE	North	0.307286224	16	52.97	122.32	488	187.7	260.9	0.8	86.7	20.86	0.2956	0.07186	17	0.555	0.4481	16.79	0.00202	0.02851	10.33	3.587	188.5	238.3	259.5	312	71	133.7
DENA17_2	2009	DENA	South	0.27575897	17	52.77	126.62	213	217.3	581.9	0.9	72.2	19.38	0.2246	0.0866	NA	1.213	0.2868	20.99	0.001959	0.02244	10.05	4.895	199	236	287	324	88	174.5
DENA17_4	2009	DENA	South	0.253051803	17	52.77	126.62	213	213	628	0.95	75.8	20.1	0.2518	0.07995	NA	1.749	0.3372	20.96	0.00183	0.02293	11.04	4.432	167.5	236	242	310.5	74.5	155.9
DENB17_1	2009	DENB	South	0.273988026	17	52.83	126.7	152	208.5	324.4	0.81	100.1	18.66	0.2425	0.07684	19.75	2.209	0.3293	18.48	0.002002	0.02609	9.37	4.198	201	245	283.8	327.8	82.8	163.6
DENB17_2	2009	DENB	South	0.266286652	17	52.83	126.7	152	163.3	113.6	0.76	102.1	19.95	0.2618	0.07705	NA	2.399	0.322	19.13	0.001908	0.02511	10.67	4.624	169.8	238	250.3	318.5	80.5	129.8
DENB17_4	2009	DENB	South	0.253946824	17	52.83	126.7	152	89.7	32.4	NA	77.6	22.12	0.3117	0.07186	21.53	1.791	0.3159	18.51	0.001856	0.02585	12.19	5.27	NA	245.7	NA	319.7	NA	NA
DENC17_2	2009	DENC	South	0.267802489	17	52.83	126.8	91	225	530	1	82.7	18.4	0.2355	0.08045	17.67	3.525	0.3129	18.03	0.002168	0.02716	8.63	4.312	181.5	241.3	277.3	337	95.8	174.9
DENC17_3	2009	DENC	South	0.251980558	17	52.83	126.8	91	215.6	621.7	0.82	76.3	17.39	0.2278	0.07831	17.17	2.733	0.2878	17.79	0.002102	0.02721	8.43	4.414	203.5	244.3	287	327.8	83.5	162.7
DENC17_4	2009	DENC	South	0.270846309	17	52.83	126.8	91	166.3	213.4	0.52	76.7	18.72	0.2076	0.09169	NA	2.271	0.2487	21.18	0.002064	0.0226	9.18	5.53	204.3	232.5	280.3	308.5	76	106.5
DENC17_5	2009	DENC	South	0.259974807	17	52.83	126.8	91	175.7	183.2	0.58	89.4	17.81	0.239	0.07432	NA	2.352	0.3129	18.42	0.00194	0.02627	9.22	4.196	217.7	238.3	309.3	330	91.7	131.9
DEND17_3	2009	DEND	South	0.253842747	17	52.82	126.95	27	229.8	516.7	0.7	82.5	16.06	0.1793	0.09066	18.53	1.589	0.2634	21.96	0.001967	0.02184	8.14	4.425	225.3	243	308.5	326.3	83.3	158.4
DEND17_5	2009	DEND	South	0.265356996	17	52.82	126.95	27	166.3	235.4	0.77	82.1	20.83	0.2729	0.07684	NA	2.129	0.2977	19.24	0.001918	0.02513	10.95	5.114	171.3	229	260.5	318.3	89.3	127.7
BELA18_1	2009	BELA	South	0.248284292	18	52.42	126.17	152	202.8	305.1	0.75	96.2	20.65	0.2413	0.09016	NA	1.444	0.2941	19.35	0.002242	0.02592	9.25	5.271	213.9	255.3	283.6	325	69.8	160.3
BELA18_2	2009	BELA	South	0.263343648	18	52.42	126.17	152	223.8	667.9	0.89	87.1	20.84	0.2447	0.08574	18.88	0.998	0.343	17.28	0.002358	0.02774	8.81	4.507	199.8	251.6	275.8	327.6	76	176.4
BELA18_3	2009	BELA	South	0.259685236	18	52.42	126.17	152	196.9	404.2	0.81	84.2	17.7	0.2335	0.07598	NA	2.107	0.2727	17.62	0.002062	0.02724	8.53	4.731	208.3	242.4	292.3	322.4	80	150.4
BELA18_4	2009	BELA	South	0.249897682	18	52.42	126.17	152	192.4	290.6	0.76	90.4	17.46	0.2288	0.07713	17.91	1.869	0.2891	21.93	0.001709	0.02241	10.24	4.47	197.9	244.4	274	320.5	76.1	150.4
BELA18_5	2009	BELA	South	0.242700644	18	52.42	126.17	152	190.1	262.4	0.85	94.5	14.92	0.2108	0.07049	17.87	1.327	0.2053	17.17	0.001986	0.02822	7.56	5.033	191.6	252.6	270.6	331.4	79	147.1
BELC18_1	2009	BELC	South	0.247887382	18	52.38	126.6	135	198.5	376.7	0.79	88.7	21.57	0.2422	0.09012	NA	2.21	0.4388	21.37	0.002045	0.02284	10.62	3.702	192.9	237.8	282.8	327.6	89.9	152.4
BELC18_2	2009	BELC	South	0.246430987	18	52.38	126.6	135	235.4	322	0.92	106.8	18.38	0.2375	0.07732	18.09	1.626	0.3693	17.54	0.002159	0.02791	8.61	3.754	193.8	240.4	273.8	320.4	80	176
BELC18_3	2009	BELC	South	0.239586867	18	52.38	126.6	135	248.6	518.8	0.94	100.6	16.06	0.2274	0.07022	NA	2.014	0.239	17.48	0.001875	0.02693	8.52	4.735	206.9	246.9	281	321	74.1	193.8
BELC18_4	2009	BELC	South	0.27507824	18	52.38	126.6	135	252.3	717.1	1.1	84.2	23.03	0.2207	0.1082	18.19	1.595	0.3988	18.91	0.002638	0.02474	8.9	4.358	179.8	247	260.7	327.6	79	196.6
BELC18_5	2009	BELC	South	0.266718541	18	52.38	126.6	135	203.1	289.3	0.78	90.4	18.45	0.226	0.08123	NA	1.855	0.3675	18.19	0.002182	0.02688	8.4	3.644	206.5	244.3	287	324.8	80.5	160.6
CHKC19_1	2009	CHKC	South	0.25691824	19	51.73	127.32	67	212.8	423	0.94	85.3	16.65	0.1681	0.08795	22.16	1.636	0.4562	23.36	0.001876	0.02264	8.39	2.9	145.3	234.3	231.5	320.5	86.3	137.4
CHKC19_2	2009	CHKC	South	0.265621931	19	51.73	127.32	67	179	258	0.52	77.6	20.94	0.2131	0.09803	NA	2.108	0.4196	24.78	0.001905	0.01933	11.06	3.808	167.8	234.3	265.3	331.8	97.5	88.5
CHKC19_3	2009	CHKC	South	0.278245365	19	51.73	127.32	67	193.8	323.7	0.64	80.4	24.24	0.26	0.09317	18.08	1.983	0.422	21.83	0.002099	0.02249	11.63	4.362	204.5	241.5	291	328	86.5	132
CHKC19_4	2009	CHKC	South	0.252320901	19	51.73	127.32	67	211.5	470.9	0.69	79	21.55	0.2759	0.07825	NA	1.014	0.4649	19.43	0.001957	0.02499	11.2	3.554	204.3	236	286.8	318.5	82.5	141.6
CHKD19_1	2009	CHKD	South	0.263885622	19	51.77	127.2	79	226.8	384.2	0.66	90.3	24.13	0.3093	0.07902	22.3	2.405	0.4998	21.36	0.001764	0.02238	13.8	3.797	204.3	225.5	299	320.3	94.8	136.3
CHKD19_2	2009	CHKD	South	0.250521459	19	51.77	127.2	79	201.8	278.5	0.62	90.6	18.36	0.2596	0.07066	NA	0.319	0.4112	17.08	0.002028	0.02869	9.21	3.355	192	230.8	276.3	315	84.3	120.5
CHKD19_3	2009	CHKD	South	0.252163262	19	51.77	127.2	79	195.3	275.5	0.76	88.6	23.55	0.2586	0.09219	NA	1.745	0.3792	20.07	0.002178	0.02384	10.85	4.562	173	232.5	256.8	316.3	83.8	125.4
CHKD19_4	2009	CHKD	South	0.262773004	19	51.77	127.2	79	147.3	141.8	0.46	80.3	18.15	0.1872	0.0968	21.53	0.874	0.375	25.75	0.001757	0.01816	10.31	3.625	179.8	209.8	285	315	105.3	81.8
CHKD19_5	2009	CHKD	South	0.267496953	19	51.77	127.2	79	195.5	293.1	0.84	100.1	21.68	0.2362	0.09451	18.63	2.224	0.3827	22.17	0.00209	0.02264	10.36	4.298	181.7	237.8	265.3	322.3	83.7	127.2
MCHA19_3	2009	MCHA	South	0.248133133	19	51.63	126.68	70	204.8	335.9	0.74	93	17.52	0.216	0.08139	NA	1.035	0.3445	24.39	0.001558	0.01917	11.25	3.788	207.8	232.5	312.3	337	104.5	156.5
MCHA19_4	2009	MCHA	South	0.256303991	19	51.63	126.68	70	295.3	918.6	1.01	87.9	19.1	0.2234	0.08488	18.48	0.665	0.3458	21.81	0.00185	0.02193	10.49	4.033	200.3	252.5	284.5	336.8	84.3	201.3
MCHA19_5	2009	MCHA	South	0.264027425	19	51.63	126.68	70	232.5	336.5	0.87	101.1	16.27	0.2133	0.07776	20.95	1.332	0.4186	20.86	0.001812	0.02337	9.17	2.962	188.8	246.8	275	333	86.3	163.5
MCHB19_1	2009	MCHB	South	0.25144176	19	51.62	126.58	122	231.8	338.8	0.91	105.3	18.65	0.2209	0.08467	NA	1.895	0.3366	23.25	0.001751	0.02064	10.71	4.144	181	236.3	278	333.3	97	161.5
MCHB19_2	2009	MCHB	South	0.247061416	19	51.62	126.58	122	200	230.6	0.89	108.4	21.87	0.2877	0.07734	20.02	2.468	0.3582	19.52	0.001887	0.02459	11.65	4.657	168.8	239.5	255.3	326	86.5	143.9
MCHB19_3	2009	MCHB	South	0.256089828	19	51.62	126.58	122	293.3	695.2	1.08	98.8	23.12	0.2627	0.0888	NA	0.65	0.4368	23.62	0.00178	0.02026	12.96	4.055	202	258	281	337	79	216.5
MCHB19_4	2009	MCHB	South	0.256858412	19	51.62	126.58	122	210.8	433.4	0.74	86.8	21.71	0.1944	0.11451	20.42	0.561	0.3298	23.1	0.002453	0.02122	9.3	4.821	168	231	262.8	325.8	94.8	126.9
MCHB19_5	2009	MCHB	South	0.262262747	19	51.62	126.58	122	290.5	1137.2	0.91	85.2	19.99	0.2742	0.0741	NA	2.876	0.3105	16.81	0.002114	0.02877	9.43	4.612	231.3	252.5	308.8	330	77.5	209.7
ALAA20_1	2009	ALAA	South	0.249941888	20	50.98	126.12	0	268.9	537.5	1.01	106.5	16.57	0.209	0.07945	19.23	1.942	0.2835	22.98	0.001678	0.02124	9.92	4.238	194.9	257.1	265.5	327.8	70.6	194.7
ALAA20_2	2009	ALAA	South	0.266431674	20	50.98	126.12	0	272.3	886	1.08	87.6	23.02	0.2599	0.0884	19.18	1.386	0.4397	20.94	0.002017	0.02283	11.52	3.986	191.8	251	270.3	329.5	78.5	205.3
ALAA20_3	2009	ALAA	South	0.251003605	20	50.98	126.12	0	281.6	617.7	1.01	107.7	20.18	0.2465	0.08242	NA	2.61	0.3918	18.82	0.002073	0.02541	9.7	3.907	208	248	284.1	324.1	76.1	208.8
ALAA20_4	2009	ALAA	South	0.252345794	20	50.98	126.12	0	189.6	218	0.63	96.2	18.79	0.2233	0.08552	20.51	2.25	0.3422	24.38	0.001699	0.02007	11.05	4.095	194.3	245.3	275.9	326.9	81.6	122
ALAA20_5	2009	ALAA	South	0.250231459	20	50.98	126.12	0	229.9	376.7	0.89	102.2	22.93	0.2501	0.09202	21.23	2.361	0.4505	19.66	0.002232	0.02436	10.23	3.916	195.9	247.1	269	320.3	73.1	172.1
KLNA20_3	2009	KLNA	South	0.2528597	20	51.12	125.58	30	222.3	436.1	0.88	88.8	18.48	0.3091	0.06361	NA	0.766	0.3298	18.7	0.001612	0.02613	11.49	4.163	176.3	239.5	262.8	326	86.5	155.3
KLNA20_4	2009	KLNA	South	0.249513133	20	51.12	125.58	30	227.8	521.6	0.88	78.9	20.51	0.251	0.0825	NA	0.564	0.398	23.99	0.00163	0.01977	12.74	3.831	191	250.8	280.8	340.5	89.8	166.8
KLNA20_5	2009	KLNA	South	0.247616266	20	51.12	125.58	30	250	793.7	0.99	72.8	18.45	0.2674	0.06914	19.33	2.181	0.3628	16.88	0.001933	0.02801	9.57	3.765	210	247	292.5	329.5	82.5	201.2
KLNC20_2	2009	KLNC	South	0.260441545	20	51.53	125.55	427	202.8	312.3	0.69	85.7	19.52	0.2605	0.0765	NA	1.301	0.4015	20.56	0.001816	0.02391	10.98	3.663	201.7	245	280.3	323.8	78.7	132.8
KLND20_1	2009	KLND	South	0.249532232	20	51.57	125.5	427	261.5	533.8	0.7	94.8	20.95	0.2623	0.08049	NA	0.727	0.3715	20.26	0.001864	0.02331	11.24	4.26	235	258	312	335	77	165
KLND20_2	2009	KLND	South	0.252569871	20	51.57	125.5	427	232.5	536.6	0.93	85.1	20.8	0.2697	0.07787	NA	0.661	0.3553	20.12	0.001859	0.02386	11.35	4.335	176	245	255.3	324.3	79.3	162
KLND20_3	2009	KLND	South	0.261978884	20	51.57	125.5	427	221.5	577.5	1	77.8	20.31	0.2507	0.08193	18.99	0.544	0.3601	19.94	0.001962	0.0242	10.31	4.143	178	236	254.8	312.8	76.8	178.2
KLNE20_1	2009	KLNE	South	0.257265064	20	51.73	125.57	427	194.8	226.8	0.86	95.1	20.24	0.2605	0.07926	19.69	1.125	0.4453	20.03	0.001905	0.02424	10.66	3.49	182	241.3	249	308.3	67	155.3
KLNE20_2	2009	KLNE	South	0.255702189	20	51.73	125.57	427	179.3	173.4	0.68	96.4	21.26	0.2807	0.07639	NA	2.999	0.2914	18.52	0.001897	0.02506	11.21	5.293	187.3	234.3	268	314.5	80.7	134.3
KLNE20_3	2009	KLNE	South	0.275261159	20	51.73	125.57	427	258	866.5	0.83	82.5	20.3	0.2282	0.08943	NA	2.324	0.3616	22.51	0.001944	0.02177	10.49	4.276	217.5	249	298.3	329.8	80.8	181
KLNE20_4	2009	KLNE	South	0.253445536	20	51.73	125.57	427	187.5	251.6	0.71	94.5	21.56	0.2462	0.09041	NA	1.815	0.3714	19.41	0.002202	0.02481	9.93	4.413	188.8	245	275.3	331.5	86.5	130.2
KLNE20_5	2009	KLNE	South	0.247971888	20	51.73	125.57	427	228.3	547.2	0.86	84.2	20.03	0.2646	0.07639	20.49	0.97	0.3768	20.07	0.001833	0.0242	10.93	3.981	201	241.5	280	320.5	79	172.8
KLNG20_3	2009	KLNG	South	0.266368498	20	51.3	125.77	105	170.7	284.2	1.02	80.4	18.36	0.2507	0.0774	21.05	1.365	0.3548	21.38	0.001671	0.02233	11.07	3.836	199	235	310.5	343	111.5	132.7
KLNG20_4	2009	KLNG	South	0.255191459	20	51.3	125.77	105	215	425.7	1.1	80.4	17.38	0.232	0.07467	NA	1.695	0.3899	21.7	0.001633	0.0219	10.73	3.41	166.8	237.8	249.5	320.5	82.8	182.2
KLNG20_6	2009	KLNG	South	0.256105579	20	51.3	125.77	105	146	254.2	0.47	71.3	21	0.2103	0.10041	NA	2.535	0.3952	24.48	0.001969	0.01978	10.66	4.019	194	246.5	285.5	324	91.5	91.7
MCFA20_1	2009	MCFA	South	0.255263991	20	51.32	126.23	275	225	343.2	0.8	99	18.46	0.2262	0.0847	NA	0.553	0.5354	24.7	0.001608	0.01928	11.69	2.707	205.3	254.5	274.8	324	69.5	162.5
MCFA20_2	2009	MCFA	South	0.261383433	20	51.32	126.23	275	287.8	839.6	0.92	87.1	15.23	0.2035	0.07607	NA	1.35	0.2938	19.93	0.001846	0.02477	8.27	3.735	233	252.5	315.5	335	82.5	212.9
MCFA20_3	2009	MCFA	South	0.248044378	20	51.32	126.23	275	244	574.8	1.04	82	20.9	0.2455	0.08574	NA	1.776	0.4565	19.22	0.00212	0.0247	9.99	3.462	179.5	236.5	263	320	83.5	184.2
MCFA20_4	2009	MCFA	South	0.27195824	20	51.32	126.23	275	139	58.5	0.46	109.9	23	0.3249	0.07235	NA	1.088	0.6065	21.96	0.001607	0.02226	13.61	3.24	183	233.7	255.7	306.3	72.7	73
MCFA20_5	2009	MCFA	South	0.255276695	20	51.32	126.23	275	259.9	804.9	0.93	83.1	16.87	0.2213	0.07689	21.28	1.242	0.3402	23.77	0.001582	0.02091	10.69	3.613	202.9	245.9	281.8	324.8	78.9	188
MCFA20_6	2009	MCFA	South	0.24931794	20	51.32	126.23	275	225	377.8	0.86	99	21.37	0.3081	0.06929	NA	1.604	0.5019	20.52	0.001624	0.02333	13.33	3.348	201.3	243.5	281.8	324	80.5	176.7
HOMA21_1	2009	HOMA	South	0.246264077	21	50.93	124.85	46	236.8	303.5	0.96	107.8	18.72	0.2133	0.08811	16.87	1.672	0.3302	21.58	0.001953	0.02224	9.58	4.231	181.8	239.5	268	325.8	86.3	173.5
HOMA21_2	2009	HOMA	South	0.246437511	21	50.93	124.85	46	307	1332.9	1.03	84.4	24.28	0.2802	0.08701	20.01	1.239	0.4617	18	0.002336	0.02674	10.54	4.027	215.8	254.5	294.8	333.5	79	222.2
HOMA21_4	2009	HOMA	South	0.253902618	21	50.93	124.85	46	229.8	545.9	0.72	80.7	18.74	0.2313	0.08148	18.91	1.341	0.3667	21.98	0.00178	0.02183	10.59	3.771	219.3	251	297.5	329.3	78.3	158.8
HOMA21_5	2009	HOMA	South	0.253388927	21	50.93	124.9	37	243.9	650.3	0.81	90.9	18.7	0.2272	0.0835	NA	2.303	0.427	23.8	0.001727	0.02119	11.06	3.325	207.9	254.4	289.7	335	81.9	177.6
HOMB21_1	2009	HOMB	South	0.260400386	21	50.95	124.9	37	221	300.2	0.75	100.2	17.56	0.2002	0.08738	21.5	1.359	0.3484	26.41	0.001578	0.01803	11.03	3.695	228	258	303	333	75	168.7
HOMB21_2	2009	HOMB	South	0.248076481	21	50.95	124.9	37	244.3	459.9	0.86	99.1	20.65	0.279	0.07475	NA	2.84	0.4157	19.68	0.001813	0.02437	11.45	3.94	219.3	258	294.8	333.5	75.5	189
HOMB21_3	2009	HOMB	South	0.252065451	21	50.95	124.9	37	301.8	1198.9	1.15	82.3	16.93	0.2071	0.08197	20	2.823	0.4084	18.13	0.002203	0.02715	7.6	3.07	207	256.3	282	331.3	75	237.3
HOMB21_5	2009	HOMB	South	0.258156738	21	50.95	124.9	37	204.8	298.3	0.96	95.1	18.06	0.2036	0.08852	17.41	0.658	0.3823	22.8	0.0019	0.02146	9.59	3.517	159.3	239.8	243.5	324	84.3	154.5
HOMC21_1	2009	HOMC	South	0.253505665	21	51.23	124.95	88	239	377.2	0.95	104.3	20.4	0.2529	0.07549	NA	0.605	0.4696	23.17	0.001562	0.02069	12.23	3.423	222.8	258	296.3	331.5	73.5	207.7
HOMC21_2	2009	HOMC	South	0.247653863	21	51.23	124.95	88	226.8	269.7	0.9	111.1	19.85	0.2506	0.08225	NA	0.803	0.4903	19.14	0.00208	0.02628	9.56	3.347	200.5	248.8	277.8	326	77.3	176.2
HOMC21_3	2009	HOMC	South	0.256697511	21	51.23	124.95	88	229	511.6	0.95	89.9	21.7	0.2653	0.08186	21.73	0.479	0.4853	23.39	0.001692	0.02061	12.96	3.42	183.3	250.7	259.7	327.5	76.3	185
HOMD21_1	2009	HOMD	South	0.253720043	21	51.28	124.83	152	242	564.3	0.95	91.6	20.22	0.2305	0.09074	NA	2.117	0.4052	23.99	0.001872	0.02139	10.83	3.695	190.7	254.5	272	337	81.3	168.3
HOMD21_2	2009	HOMD	South	0.26177103	21	51.28	124.83	152	226.8	420.8	0.76	96.1	20.91	0.2317	0.09131	NA	1.503	0.4225	18.98	0.002383	0.02613	8.9	3.877	212	249	283.5	320.5	71.5	160.5
HOMD21_3	2009	HOMD	South	0.260979914	21	51.28	124.83	152	316.3	931.1	1.08	95.2	20.19	0.2477	0.08168	NA	2.459	0.4094	18.54	0.002029	0.0248	10.04	3.808	219.3	256.3	293	330	73.8	234.5
HOMD21_4	2009	HOMD	South	0.246840815	21	51.28	124.83	152	277	565.2	0.96	105.1	22.72	0.241	0.09635	18.92	1.448	0.4327	22.58	0.002022	0.02102	11.62	4.102	217.3	254.3	286.8	323.8	69.5	205.6
HOMD21_5	2009	HOMD	South	0.246620558	21	51.28	124.83	152	204	364.5	0.78	82.1	15.49	0.2399	0.06602	20.34	0.989	0.3268	16.99	0.001878	0.0283	8.6	3.733	188	245	278.3	335.3	90.3	146.7
STHA21_3	2009	STHA	South	0.254422618	21	50.82	124.48	239	242.8	624	1.07	84.3	19.14	0.2607	0.07455	18.28	2.078	0.3853	18.31	0.001944	0.02626	9.84	3.77	174.5	256.3	253.5	329.8	79	187
STHA21_4	2009	STHA	South	0.249125322	21	50.82	124.48	239	226.7	361.7	0.97	93.4	19.86	0.2663	0.07459	NA	1.506	0.3812	19.11	0.001903	0.02549	10.7	3.91	179.3	255.7	263	339.3	83.7	173.4
STHB21_2	2009	STHB	South	0.246897425	21	50.88	124.73	91	321	930	1	100.1	21.75	0.272	0.07926	19.89	0.78	0.4399	17.3	0.002207	0.0281	9.81	3.865	235	258	315.8	338.8	80.8	234.5
STHB21_3	2009	STHB	South	0.250433176	21	50.88	124.73	91	241.5	658.2	0.83	81	21.97	0.2718	0.08071	20.34	2.431	0.4432	18.92	0.00197	0.02437	11.14	3.796	213.8	252.5	300	338.8	86.3	176.7
STHB21_4	2009	STHB	South	0.243617382	21	50.88	124.73	91	249.3	610.7	0.87	87.3	18.66	0.1942	0.09601	20.01	2.802	0.2567	20.34	0.002271	0.02365	8.19	5.724	213.3	254.3	285	326	71.8	178.8
STHB21_5	2009	STHB	South	0.254668584	21	50.88	124.73	91	207.5	316.9	0.77	86.8	21.84	0.274	0.08005	NA	1.197	0.4202	17.07	0.002258	0.02825	9.74	4.039	204.8	248.8	284	328	79.3	152.5
PHLA22_1	2009	PHLA	South	0.250184206	22	50.6	125.32	5	214.3	350.8	0.81	88.3	16.72	0.1973	0.08512	NA	1.831	0.4251	23.67	0.001745	0.02068	9.69	3.033	192	263.5	267.3	338.8	75.3	154.8
PHLA22_2	2009	PHLA	South	0.252428369	22	50.6	125.32	5	280.5	668.7	1	93.8	20.08	0.2272	0.08779	NA	1.349	0.338	22.76	0.001888	0.02142	10.55	4.378	201	245	289.5	333.5	88.5	199.7
