lat_prov,long_prov,elev_prov,MAT_prov,MSP100_prov,spring_event,fall_event,lat_garden,long_garden,elev_garden,year,MAT_garden,MSP100_garden,label,,,,,
51.5,126.13,30,7,13.14,85.4,324.4,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
52.35,131.35,1,8.6,6.38,84.8,323.8,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
52.37,126.58,40,6.4,3.57,80.5,327.1,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
52.37,126.92,30,7.5,5.56,81.6,325.3,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
52.43,126.55,150,6.2,3.78,82.4,319.9,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
53.12,131.67,10,7.9,3.42,80.8,322,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
53.13,132.25,20,7.9,7.86,81.4,324.6,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
53.37,132.45,100,7.7,7.72,80.3,328,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
53.85,132.18,10,8,4.06,83.4,323.1,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
54.05,132,10,7.3,4.23,81.7,325.5,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
54.25,128.5,60,6.1,3.67,81.9,318.8,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
54.25,129.55,10,6.6,8.92,80.8,321.1,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
54.25,130.03,160,6.8,9.56,82.4,316.5,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
54.27,130.27,46,8.1,8.61,80.2,321.3,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
54.32,129.33,20,6.8,7.77,80.5,318.5,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
54.33,129.28,10,5.3,5.72,78.7,324.7,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
54.43,128.92,100,5.5,3.66,81.4,317.8,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
54.45,128.48,100,5.6,3.61,81.7,320.4,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
54,130,200,6.5,10.84,79,319.3,49.2186,-123.0548,N.A.,1996,10.1,2.8,NA ALNURU Hamann et al. 1998,,,,,
46.23,-113.77,2164,1.7,2.62,13.4,34.6,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
44.88,-114.3,2134,3.1,1.88,13.1,34.8,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
44.35,-115.22,2225,3.4,2.79,14.1,35.9,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
44.52,-115.6,1859,3.5,2.46,13,35.8,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
45.05,-115.92,2073,3,3.72,13.4,36.5,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
44.63,-115.57,2195,2.3,2.59,13.2,35.7,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
44.63,-115.6,1920,3.8,2.66,14,39,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
43.83,-114.62,2164,2.4,1.64,13.2,36.2,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
44.5,-114.4,2134,3.4,2.53,13.6,37.2,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
43.83,-114.25,2438,1.9,2.62,13.7,34.2,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
43.87,-114.72,2530,1.8,2.16,12,34.3,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
44.93,-109.52,2987,0.4,3.47,12.4,29.9,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
39.53,-111.25,2606,3.3,1.98,13.5,37.1,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
39.57,-111.25,2667,3.3,2.01,12.6,36.2,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
43.82,-110.38,2240,1.7,2.26,11.6,34.4,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
43.77,-110.32,2393,1.8,2.46,12.1,32.9,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
43.8,-110.23,2591,1.5,2.52,12.7,33.4,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
43.43,-110.87,1935,3.9,2.05,12.7,37,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
43.43,-110.92,2057,3.8,2.64,13.2,36.5,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
43.42,-110.92,2195,2.9,2.51,12.4,35.2,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
43.17,-110.52,2210,0.5,1.97,11.5,34.7,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
43.18,-110.27,2347,0,1.85,12.3,34.4,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
43.07,-110.87,2012,3.4,2.35,12.5,35.1,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
42.73,-110.68,2225,2.8,2.6,12.4,33.5,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
42.67,-110.68,2332,2.1,2.51,11.9,33.4,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
42.57,-110.68,2560,0.9,2.46,12.2,32.8,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
42.53,-110.63,2743,0.3,2.49,11.7,32.5,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
41.9,-111.48,2408,4.2,2.33,12.1,34.2,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
41.58,-111.43,2560,3.2,2.37,12.7,34.8,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
40.62,-111.58,2560,4,2.41,12.7,35.2,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
40.58,-111.02,2499,4.2,2.24,12.9,36.9,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
40.63,-110.97,2652,2.9,2.66,13.2,34.9,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
40.28,-111.28,2637,2.8,2.16,12.1,35.7,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
39.83,-111.72,2835,3.4,2.31,12.3,36.7,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
39.6,-111.22,2606,3.6,2.09,13.3,35.2,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
39.45,-111.27,2682,3.4,2.27,12.4,34.4,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
39.6,-111.3,2758,3.2,2.09,11.9,35.4,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
39.13,-111.38,2926,4.9,2.42,12.9,36.1,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
38.22,-112.43,2926,3.6,2.79,14.6,36.8,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
38.02,-111.72,2850,4.3,1.98,12.5,36.7,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
38.03,-111.68,2911,4.1,1.95,13.2,37,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
37.53,-112.77,2865,2.9,2.52,13.5,36.4,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
37.57,-112.83,3018,2.4,2.64,12.3,35.2,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
37.58,-112.87,3231,2.1,2.7,11.6,35.1,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
37.87,-109.47,2804,5.4,2.84,13.4,39.4,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
37.85,-109.45,2972,4.6,2.79,12.3,36.3,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
37.85,-109.47,3109,4.1,2.94,13.5,37.9,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
43.5,-110.98,2256,3.1,3.04,12.6,34.6,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
43.78,-110.13,2728,0.2,2.68,12.5,28.9,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
41.68,-111.42,2469,3.7,1.95,12.9,36.2,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
41.88,-111.65,2637,3.2,2.98,12.9,33.1,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
41.88,-111.63,2438,4.1,2.94,12.6,34.5,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
41.88,-111.6,2103,5.2,2.6,11.6,34.5,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
41.68,-111.37,2301,4.8,1.94,12.1,34.9,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
40.78,-110.88,2789,3.1,2.77,12.2,33.8,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
40.75,-110.87,2941,2.3,2.84,14.3,35.6,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
40.93,-110.67,3124,1.8,2.62,14,35,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
36.73,-106.3,2972,2.8,2.48,13.9,44.4,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
33.4,-105.78,2926,5.5,4.73,13.7,,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
35.33,-111.7,2774,4.9,3.19,12.6,46.3,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
40.72,-110.85,3178,1,2.94,12.2,32.7,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
40.78,-109.58,2835,2.5,2.85,10.8,32.5,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
40.77,-109.78,3048,1.8,3.05,16.2,35.1,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
40.77,-109.83,3292,-0.2,3.05,13.4,31.4,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
40.6,-110.02,2621,5.2,2.56,13,36,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
40.72,-110.03,2987,0.9,2.98,13.2,34.6,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
40.78,-110.02,3185,0.1,3.36,12.8,32.7,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
41.92,-113.4,2713,2.8,2.54,13.7,35.2,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
41.43,-111.52,2728,2.4,2.37,11.9,34.6,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
40.48,-111,2743,3.9,2.29,13.2,34.6,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
40.48,-111.03,2880,3,2.24,12.8,34.8,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
39.03,-114.3,2987,4.2,2.39,14.4,35.5,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
38.53,-112.08,3048,4,2.44,14.2,36.2,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
38.52,-112.05,3139,3.2,2.45,12.5,35.5,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
38.53,-112.07,3383,2.2,2.45,13.3,34.5,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
38.63,-111.65,2804,3.6,2.45,12.2,36.1,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
38.43,-111.47,3109,2.9,2.06,12.7,35.7,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
38.48,-111.47,2850,3.9,2,12.9,36.9,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
38.47,-111.47,2972,3.3,2.04,14.3,37.9,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
38.43,-111.47,3002,3.5,2.06,12.8,39.6,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
39.65,-110.33,2926,5,2.25,13.5,36.2,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
39.25,-111.43,3139,1.5,2.23,12.6,33.8,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
39.17,-111.48,3261,1.2,2.41,13.1,35,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
38.48,-109.28,2957,4.4,2.58,13.3,37.9,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
38.47,-109.25,3063,4.8,3.09,12.2,38.3,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
38.03,-111.33,2941,4.7,1.62,13.5,36.7,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
38.03,-112.18,3048,2.5,2.62,13.4,36.1,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
38,-112.23,3109,2.4,2.71,13.5,36,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
38.02,-112.2,3231,1.6,2.61,13.1,34,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
37.95,-111.72,2850,5,1.96,13.2,37.7,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
37.97,-111.72,2987,4.1,1.98,13.7,35.6,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
37.92,-111.87,3170,2.1,2.3,12.6,35.8,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
37.77,-107.97,2865,2.8,3.15,14.3,42.4,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
37.75,-107.98,2957,2.7,3.18,12.2,36.7,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
37.78,-107.93,3078,0.8,2.97,13.5,37.7,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
37.8,-107.92,3139,0.6,2.96,12.8,35.6,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
37.83,-107.88,2911,1.8,3.17,13.6,39.6,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
39.13,-111.45,2926,3.8,2.53,12.4,34.9,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
40.65,-111.12,2858,3,2.44,13.1,34.7,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
39.53,-106.22,3246,0.5,2.7,13.2,33,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
39.55,-106.25,3444,-0.4,2.67,13.7,33.5,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
39.53,-106.15,2957,2.1,2.67,12.5,40.9,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
39.67,-105.88,3597,0.7,2.8,12.7,31.4,46.7,-117,690,N.A.,8.1,1.55,NG PICEEN Rehfeldt 1994,,,,,
39.249544,-123.768628,55,11.9,0.72,121.91,291.45,49.256067,-123.250025,35,2003,10.1,2.56,NG PICESI Mimura & Aitken 2007,,,,,
42.012381,-124.211969,50,12.1,2.34,127.61,281.43,49.256067,-123.250025,35,2003,10.1,2.56,NG PICESI Mimura & Aitken 2007,,,,,
47,-124,9,10.8,3.11,125.48,250.13,49.256067,-123.250025,35,2003,10.1,2.56,NG PICESI Mimura & Aitken 2007,,,,,
49.003886,-123.001833,0,9.7,2.21,118.13,248.99,49.256067,-123.250025,35,2003,10.1,2.56,NG PICESI Mimura & Aitken 2007,,,,,
49.502769,-124.850856,58,8.8,2.27,116.48,244.64,49.256067,-123.250025,35,2003,10.1,2.56,NG PICESI Mimura & Aitken 2007,,,,,-1
52.502933,-128.237544,44,8.1,10.29,119.86,232.43,49.256067,-123.250025,35,2003,10.1,2.56,NG PICESI Mimura & Aitken 2007,,,,,
53.000919,-131.947478,53,7.9,7.06,120.07,237.1,49.256067,-123.250025,35,2003,10.1,2.56,NG PICESI Mimura & Aitken 2007,,,,,
53.499556,-130,22,8,7.8,120.6,223.52,49.256067,-123.250025,35,2003,10.1,2.56,NG PICESI Mimura & Aitken 2007,,,,,
60.054233,-141.289728,57,3.3,11.41,121.78,178.65,49.256067,-123.250025,35,2003,10.1,2.56,NG PICESI Mimura & Aitken 2007,,,,,
61.138864,-146.349544,50,1.4,8,118.44,178.17,49.256067,-123.250025,35,2003,10.1,2.56,NG PICESI Mimura & Aitken 2007,,,,,
61,-147,6,3.6,13.02,121.7,178.54,49.256067,-123.250025,35,2003,10.1,2.56,NG PICESI Mimura & Aitken 2007,,,,,
59.205089,-151.241825,49,3.8,3.41,123.51,181.61,49.256067,-123.250025,35,2003,10.1,2.56,NG PICESI Mimura & Aitken 2007,,,,,
57.002,-153.307319,25,5.9,6.85,119.98,175.21,49.256067,-123.250025,35,2003,10.1,2.56,NG PICESI Mimura & Aitken 2007,,,,,
55.9688,-133.6282,10,7.2,7.86,119.09,210.74,49.256067,-123.250025,35,2003,10.1,2.56,NG PICESI Mimura & Aitken 2007,,,,,
55.9723,-131.965,10,6.9,8.27,118.47,205.44,49.256067,-123.250025,35,2003,10.1,2.56,NG PICESI Mimura & Aitken 2007,,,,,
57.5162,-134.8496,10,6.4,5.75,120.77,197.83,49.256067,-123.250025,35,2003,10.1,2.56,NG PICESI Mimura & Aitken 2007,,,,,
56.9455,-133.0122,10,6.3,7.96,121.81,190.44,49.256067,-123.250025,35,2003,10.1,2.56,NG PICESI Mimura & Aitken 2007,,,,,
41.7983,-122.1575,2363,4,1.15,109.78,N.A.,49.22,-123.1,0,2003,10.1,2.69,NG PINUAL Bower and Aitken 2008,,,,,
43.256,-122.682,2200,4.8,2.29,103.92,N.A.,49.22,-123.1,0,2003,10.1,2.69,NG PINUAL Bower and Aitken 2008,,,,,
50.096,-122.901,1908,0.6,4.47,97.61,N.A.,49.22,-123.1,0,2003,10.1,2.69,NG PINUAL Bower and Aitken 2008,,,,,
46.635,-114.859,2062,1.7,4.52,99.17,N.A.,49.22,-123.1,0,2003,10.1,2.69,NG PINUAL Bower and Aitken 2008,,,,,
42.07,-120.24,2538,4.2,1.99,109.59,N.A.,49.22,-123.1,0,2003,10.1,2.69,NG PINUAL Bower and Aitken 2008,,,,,
50.533,-122.58,1800,0.5,2.58,94.92,N.A.,49.22,-123.1,0,2003,10.1,2.69,NG PINUAL Bower and Aitken 2008,,,,,
42.3,-120.15,2462,3.9,1.67,106.92,N.A.,49.22,-123.1,0,2003,10.1,2.69,NG PINUAL Bower and Aitken 2008,,,,,
48.84,-116.512,1846,1.5,3.51,94.67,N.A.,49.22,-123.1,0,2003,10.1,2.69,NG PINUAL Bower and Aitken 2008,,,,,
45.634,-115.947,2154,2.1,3.54,98.87,N.A.,49.22,-123.1,0,2003,10.1,2.69,NG PINUAL Bower and Aitken 2008,,,,,
46.869,-112.474,2338,2.3,2.83,99.38,N.A.,49.22,-123.1,0,2003,10.1,2.69,NG PINUAL Bower and Aitken 2008,,,,,
45.042,-109.451,2892,0.8,3.16,100.64,N.A.,49.22,-123.1,0,2003,10.1,2.69,NG PINUAL Bower and Aitken 2008,,,,,
51.267,-121.867,1846,0.9,2.53,91.43,N.A.,49.22,-123.1,0,2003,10.1,2.69,NG PINUAL Bower and Aitken 2008,,,,,
