"prov_identifier","lat_prov","long_prov","elev_prov","MAT_prov","MSP100_prov","spring_event","fall_event","lat_garden","long_garden","elev_garden","year","MAT_garden","MSP100_garden","prov_continent","garden_continent","prov_garden_continent","species","species_type","garden_identifier","label","percentage","sd","distance_from_garden","earth_distance_from_garden","earth_distance_from_garden_min","spring_event_closest_prov","spring_event_difference","fall_event_closest_prov","fall_event_difference","MAT_diffo","species_garden","fitA_spring_lat_slope","fitA_spring_lat_intercept","Species","fitA_spring_lat_diffo_slope","fitA_spring_lat_diffo_intercept","fitA_fall_lat_diffo_slope","fitA_fall_lat_diffo_intercept","fitA_spring_mat_diffo_slope","fitA_spring_mat_diffo_intercept","fitA_fall_mat_diffo_slope","fitA_fall_mat_diffo_intercept","fitA_spring_mat_slope","fitA_spring_mat_intercept","fitC_spring_lat_slope","fitC_spring_lat_intercept","fitC_fall_lat_slope","fitC_fall_lat_intercept","doy","identifier","gdd_10yr_mean","fitD_spring_lat_slope","fitD_spring_lat_intercept","fitD_spring_mat_slope","fitD_spring_mat_intercept","fitA_spring_earth_distance_slope","fitA_spring_earth_distance_intercept","fitA_fall_earth_distance_slope","fitA_fall_earth_distance_intercept"
"prov12",51.267,-121.867,1846,0.9,2.53,91.43,NA,49.22,-123.1,53,"2003",10.1,2.69,"North America","North America","same","Pinus albicaulis","gymnosperm","C","NG PINUAL Bower and Aitken 2008",18.97090421,5.722264801,2.047,244.0829261,98484.54768,97.61,6.18,NA,NA,9.2,"Pinus albicaulis C",-0.759473737,134.7410107,"Pinus albicaulis",1.279936224,94.85554388,NA,NA,-2.287813119,117.278417,NA,NA,1.563813024,95.72231202,-1.14554929,152.5383234,NA,NA,91,"prov12",19.292,-18.20684076,934.3498939,53.46817598,-24.57734098,0.00448535513983112,96.5621036554456,NA,NA
"prov13",51.1,-121.667,1900,0.5,2.11,89.98,NA,49.22,-123.1,53,"2003",10.1,2.69,"North America","North America","same","Pinus albicaulis","gymnosperm","C","NG PINUAL Bower and Aitken 2008",20.15027915,5.605682415,1.88,232.8300359,98484.54768,97.61,7.63,NA,NA,9.6,"Pinus albicaulis C",-0.759473737,134.7410107,"Pinus albicaulis",1.279936224,94.85554388,NA,NA,-2.287813119,117.278417,NA,NA,1.563813024,95.72231202,-1.14554929,152.5383234,NA,NA,90,"prov13",19.5025,-18.20684076,934.3498939,53.46817598,-24.57734098,0.00448535513983112,96.5621036554456,NA,NA
"prov14",45.4,-111.279,2154,3.6,4.04,92.43,NA,49.22,-123.1,53,"2003",10.1,2.69,"North America","North America","same","Pinus albicaulis","gymnosperm","C","NG PINUAL Bower and Aitken 2008",30.30830371,5.311539184,3.82,988.1549842,98484.54768,97.61,5.18,NA,NA,6.5,"Pinus albicaulis C",-0.759473737,134.7410107,"Pinus albicaulis",1.279936224,94.85554388,NA,NA,-2.287813119,117.278417,NA,NA,1.563813024,95.72231202,-1.14554929,152.5383234,NA,NA,92,"prov14",72.1985,-18.20684076,934.3498939,53.46817598,-24.57734098,0.00448535513983112,96.5621036554456,NA,NA
"prov15",48.379,-116.187,1846,2.1,5.19,100.88,NA,49.22,-123.1,53,"2003",10.1,2.69,"North America","North America","same","Pinus albicaulis","gymnosperm","C","NG PINUAL Bower and Aitken 2008",26.91196645,5.104090639,0.841,516.2097309,98484.54768,97.61,-3.27,NA,NA,8,"Pinus albicaulis C",-0.759473737,134.7410107,"Pinus albicaulis",1.279936224,94.85554388,NA,NA,-2.287813119,117.278417,NA,NA,1.563813024,95.72231202,-1.14554929,152.5383234,NA,NA,101,"prov15",60.729,-18.20684076,934.3498939,53.46817598,-24.57734098,0.00448535513983112,96.5621036554456,NA,NA
"prov16",49.1,-120.671,2000,0.3,2.25,97.18,NA,49.22,-123.1,53,"2003",10.1,2.69,"North America","North America","same","Pinus albicaulis","gymnosperm","C","NG PINUAL Bower and Aitken 2008",31.59155612,4.897554748,0.12,177.6584844,98484.54768,97.61,0.43,NA,NA,9.8,"Pinus albicaulis C",-0.759473737,134.7410107,"Pinus albicaulis",1.279936224,94.85554388,NA,NA,-2.287813119,117.278417,NA,NA,1.563813024,95.72231202,-1.14554929,152.5383234,NA,NA,97,"prov16",67.6115,-18.20684076,934.3498939,53.46817598,-24.57734098,0.00448535513983112,96.5621036554456,NA,NA
"prov17",45.39,-121.656,1969,3.1,5.41,100.17,NA,49.22,-123.1,53,"2003",10.1,2.69,"North America","North America","same","Pinus albicaulis","gymnosperm","C","NG PINUAL Bower and Aitken 2008",19.93313551,4.966142536,3.83,439.5627285,98484.54768,97.61,-2.56,NA,NA,7,"Pinus albicaulis C",-0.759473737,134.7410107,"Pinus albicaulis",1.279936224,94.85554388,NA,NA,-2.287813119,117.278417,NA,NA,1.563813024,95.72231202,-1.14554929,152.5383234,NA,NA,100,"prov17",100.2235,-18.20684076,934.3498939,53.46817598,-24.57734098,0.00448535513983112,96.5621036554456,NA,NA
"prov18",45.895,-113.45,2400,0.3,3.9,93.93,NA,49.22,-123.1,53,"2003",10.1,2.69,"North America","North America","same","Pinus albicaulis","gymnosperm","C","NG PINUAL Bower and Aitken 2008",21.67441499,5.098567102,3.325,814.1086237,98484.54768,97.61,3.68,NA,NA,9.8,"Pinus albicaulis C",-0.759473737,134.7410107,"Pinus albicaulis",1.279936224,94.85554388,NA,NA,-2.287813119,117.278417,NA,NA,1.563813024,95.72231202,-1.14554929,152.5383234,NA,NA,94,"prov18",33.181,-18.20684076,934.3498939,53.46817598,-24.57734098,0.00448535513983112,96.5621036554456,NA,NA
"prov19",43.72,-121.23,2100,2.8,2.29,106.46,NA,49.22,-123.1,53,"2003",10.1,2.69,"North America","North America","same","Pinus albicaulis","gymnosperm","C","NG PINUAL Bower and Aitken 2008",30.28995768,5.199916161,5.5,627.9706371,98484.54768,97.61,-8.85,NA,NA,7.3,"Pinus albicaulis C",-0.759473737,134.7410107,"Pinus albicaulis",1.279936224,94.85554388,NA,NA,-2.287813119,117.278417,NA,NA,1.563813024,95.72231202,-1.14554929,152.5383234,NA,NA,106,"prov19",162.223,-18.20684076,934.3498939,53.46817598,-24.57734098,0.00448535513983112,96.5621036554456,NA,NA
"prov20",43.689,-121.254,2250,2.4,2.12,104.5,NA,49.22,-123.1,53,"2003",10.1,2.69,"North America","North America","same","Pinus albicaulis","gymnosperm","C","NG PINUAL Bower and Aitken 2008",25.85482179,5.566700952,5.531,630.9175333,98484.54768,97.61,-6.89,NA,NA,7.7,"Pinus albicaulis C",-0.759473737,134.7410107,"Pinus albicaulis",1.279936224,94.85554388,NA,NA,-2.287813119,117.278417,NA,NA,1.563813024,95.72231202,-1.14554929,152.5383234,NA,NA,104,"prov20",118.1215,-18.20684076,934.3498939,53.46817598,-24.57734098,0.00448535513983112,96.5621036554456,NA,NA
"prov21",42.51,-122.15,2462,3.3,2.23,103.61,NA,49.22,-123.1,53,"2003",10.1,2.69,"North America","North America","same","Pinus albicaulis","gymnosperm","C","NG PINUAL Bower and Aitken 2008",20.68887108,4.64602116,6.71,749.4294156,98484.54768,97.61,-6,NA,NA,6.8,"Pinus albicaulis C",-0.759473737,134.7410107,"Pinus albicaulis",1.279936224,94.85554388,NA,NA,-2.287813119,117.278417,NA,NA,1.563813024,95.72231202,-1.14554929,152.5383234,NA,NA,104,"prov21",101.5635,-18.20684076,934.3498939,53.46817598,-24.57734098,0.00448535513983112,96.5621036554456,NA,NA
"prov22",45.705,-112.925,2646,1.5,3.55,94.77,NA,49.22,-123.1,53,"2003",10.1,2.69,"North America","North America","same","Pinus albicaulis","gymnosperm","C","NG PINUAL Bower and Aitken 2008",20.02244587,5.153854195,3.515,859.9899338,98484.54768,97.61,2.84,NA,NA,8.6,"Pinus albicaulis C",-0.759473737,134.7410107,"Pinus albicaulis",1.279936224,94.85554388,NA,NA,-2.287813119,117.278417,NA,NA,1.563813024,95.72231202,-1.14554929,152.5383234,NA,NA,95,"prov22",32.836,-18.20684076,934.3498939,53.46817598,-24.57734098,0.00448535513983112,96.5621036554456,NA,NA
"prov23",44.543,-111.409,2400,2.6,3.61,97.12,NA,49.22,-123.1,53,"2003",10.1,2.69,"North America","North America","same","Pinus albicaulis","gymnosperm","C","NG PINUAL Bower and Aitken 2008",24.74403429,5.181890408,4.677,1030.063499,98484.54768,97.61,0.49,NA,NA,7.5,"Pinus albicaulis C",-0.759473737,134.7410107,"Pinus albicaulis",1.279936224,94.85554388,NA,NA,-2.287813119,117.278417,NA,NA,1.563813024,95.72231202,-1.14554929,152.5383234,NA,NA,97,"prov23",33.849,-18.20684076,934.3498939,53.46817598,-24.57734098,0.00448535513983112,96.5621036554456,NA,NA
"prov24",47.516,-112.797,2154,3.5,3.22,98.04,NA,49.22,-123.1,53,"2003",10.1,2.69,"North America","North America","same","Pinus albicaulis","gymnosperm","C","NG PINUAL Bower and Aitken 2008",22.56653452,5.499894969,1.704,785.8557128,98484.54768,97.61,-0.43,NA,NA,6.6,"Pinus albicaulis C",-0.759473737,134.7410107,"Pinus albicaulis",1.279936224,94.85554388,NA,NA,-2.287813119,117.278417,NA,NA,1.563813024,95.72231202,-1.14554929,152.5383234,NA,NA,98,"prov24",67.477,-18.20684076,934.3498939,53.46817598,-24.57734098,0.00448535513983112,96.5621036554456,NA,NA
"prov25",49.71,-120.917,1785,1.9,4.62,94.78,NA,49.22,-123.1,53,"2003",10.1,2.69,"North America","North America","same","Pinus albicaulis","gymnosperm","C","NG PINUAL Bower and Aitken 2008",23.12560412,5.377592745,0.49,167.3555029,98484.54768,97.61,2.83,NA,NA,8.2,"Pinus albicaulis C",-0.759473737,134.7410107,"Pinus albicaulis",1.279936224,94.85554388,NA,NA,-2.287813119,117.278417,NA,NA,1.563813024,95.72231202,-1.14554929,152.5383234,NA,NA,95,"prov25",27.6595,-18.20684076,934.3498939,53.46817598,-24.57734098,0.00448535513983112,96.5621036554456,NA,NA
"prov1",50.98,-126.12,0,8.9,8.4,69.1,237.08,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",48.25680863,3.526725058,1.723933,280.855945,49726.32781,67.7,-1.4,254.2,17.12,1.2,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,69,"prov1",123.3285,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov2",52.42,-126.17,152,5.2,1.95,51.36,233.4,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",65.14815501,4.84173401,3.163933,407.586849,49726.32781,67.7,16.34,254.2,20.8,4.9,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,51,"prov2",57.472,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov3",52.38,-126.6,135,6.3,3.56,51.26,227.2,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",77.08870391,4.648700437,3.123933,420.0219265,49726.32781,67.7,16.44,254.2,27,3.8,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,51,"prov3",102.287,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov4",54.55,-126.83,561,3.5,2.08,83.13,177.45,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",39.21596536,5.891915916,5.293933,638.2806288,49726.32781,67.7,-15.43,254.2,76.75,6.6,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,83,"prov4",35.048,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov5",54.45,-126.8,579,3.6,1.95,79.6,165.77,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",38.42797254,5.901102436,5.193933,627.3325149,49726.32781,67.7,-11.9,254.2,88.43,6.5,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,80,"prov5",28.942,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov6",45.75,-122.83,650,8.8,1.77,60.53,266.53,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",80.84505648,3.826421718,3.506067,391.0871993,49726.32781,67.7,7.17,254.2,-12.33,1.3,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,61,"prov6",316.8845,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov7",51.73,-127.32,67,7.8,6.82,78.03,224.15,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",70.62724162,3.491334178,2.473933,398.8111585,49726.32781,67.7,-10.33,254.2,30.05,2.3,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,78,"prov7",273.429,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov8",51.77,-127.2,79,7.8,8.17,70.28,220.78,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",65.0919475,3.583102566,2.513933,395.7419091,49726.32781,67.7,-2.58,254.2,33.42,2.3,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,70,"prov8",198.3155,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov9",49.1,-121.52,480,7.1,3.87,63.25,258.4,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",62.29308272,4.422876366,0.156067,127.3228762,49726.32781,67.7,4.45,254.2,-4.2,3,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,63,"prov9",134.652,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov10",49.08,-121.73,280,7,4.02,67.2,259.27,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",80.8353235,4.30085196,0.176067,112.5624385,49726.32781,67.7,0.5,254.2,-5.07,3.1,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,67,"prov10",217.5285,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov11",49.95,-125.25,76,9,2.73,65.03,243.4,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",80.72011552,3.939451715,0.693933,163.8713692,49726.32781,67.7,2.67,254.2,10.8,1.1,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,65,"prov11",229.3015,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov12",49.67,-125.07,76,9.1,2.44,70.94,231.58,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",77.42088042,3.957385187,0.413933,139.7291447,49726.32781,67.7,-3.24,254.2,22.62,1,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,71,"prov12",243.829,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov13",49.07,-123.87,20,9.7,1.92,67.7,254.2,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",95.75927945,3.63590898,0.186067,49.72632781,49726.32781,67.7,0,254.2,0,0.4,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,68,"prov13",332.249,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov14",52.77,-126.62,213,6.1,3.92,68.73,225.6,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",30.92047244,4.996786362,3.513933,456.773227,49726.32781,67.7,-1.03,254.2,28.6,4,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,69,"prov14",33.0985,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov15",52.83,-126.7,152,5,3.24,69.08,225.68,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",37.66721895,4.91696125,3.573933,465.3050828,49726.32781,67.7,-1.38,254.2,28.52,5.1,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,69,"prov15",45.2895,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov16",52.83,-126.8,91,5.1,3.75,69.93,228.23,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",70.18809103,4.822001716,3.573933,468.9821627,49726.32781,67.7,-2.23,254.2,25.97,5,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,70,"prov16",112.686,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov17",52.82,-126.95,27,6.7,4.06,75.45,226.43,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",75.05733411,4.744790866,3.563933,473.7223351,49726.32781,67.7,-7.75,254.2,27.77,3.4,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,75,"prov17",158.5875,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov18",50.25,-123.58,305,6.1,3.69,74.73,240.75,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",67.20721849,4.549823694,0.993933,113.0776156,49726.32781,67.7,-7.03,254.2,13.45,4,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,75,"prov18",154.5995,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov19",49.52,-124.85,46,9.2,2.3,71.1,225.26,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",85.26068418,3.895551292,0.263933,119.8097459,49726.32781,67.7,-3.4,254.2,28.94,0.9,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,71,"prov19",279.364,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov20",50.1,-123,579,5.9,3.39,75.7,229.85,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",43.57509402,4.734271662,0.843933,95.58329537,49726.32781,67.7,-8,254.2,24.35,4.2,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,76,"prov20",71.454,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov21",44.42,-123.33,300,10.6,1.54,40.77,278.2,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",84.16488059,3.617896228,4.836067,537.6487027,49726.32781,67.7,26.93,254.2,-24,0.5,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,41,"prov21",220.318,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov22",50.03,-122.53,213,7.7,2.86,60.74,240.06,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",72.73549566,4.791189576,0.773933,100.5668338,49726.32781,67.7,6.96,254.2,14.14,2.4,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,61,"prov22",122.0985,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov23",49.77,-122.22,64,8.4,3.85,62.98,246.03,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",80.37444736,4.602925711,0.513933,93.9725445,49726.32781,67.7,4.72,254.2,8.17,1.7,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,63,"prov23",178.6555,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov24",55.22,-127.67,238,4.5,2.61,64.93,175.95,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",49.56541881,5.600697148,5.963933,728.7200114,49726.32781,67.7,2.77,254.2,78.25,5.6,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,65,"prov24",27.2005,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov25",50.93,-124.85,46,8.6,3.06,59.6,239.9,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",84.42769954,4.345895343,1.673933,218.5642269,49726.32781,67.7,8.1,254.2,14.3,1.5,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,60,"prov25",163.285,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
"prov26",50.95,-124.9,37,7.9,3.08,58.78,243.94,49.256067,-123.250025,77,"2010",10.1,2.55,"North America","North America","same","Populus trichocarpa","angiosperm","D","NA POPUTR McKown et al. 2013",85.43534052,4.300437311,1.693933,222.3275979,49726.32781,67.7,8.92,254.2,10.26,2.2,"Populus trichocarpa D",0.53678376,38.85537578,"Populus trichocarpa",-0.298295393,67.10279649,-9.632506542,251.960412,0.293200169,65.4138969,-11.52395048,262.8277894,-0.631519091,70.84206473,0.749043206,28.25066727,-9.499943391,712.2885808,59,"prov26",160.0135,-23.28901002,1331.763335,34.55702858,-102.3877577,-0.000970597588605486,66.7503777628621,-0.0856302604033592,256.701114069019
