prov_identifier,lat_prov,long_prov,elev_prov,MAT_prov,MSP100_prov,spring_event,fall_event,lat_garden,long_garden,elev_garden,year,MAT_garden,MSP100_garden,prov_continent,garden_continent,prov_garden_continent,species,species_type,garden_identifier,label,percentage,sd,distance_from_garden,earth_distance_from_garden,earth_distance_from_garden_min,spring_event_closest_prov,spring_event_difference 
prov48,43.5,-110.98,2256,3.1,3.04,102.6,304.6,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,45.01268288,5.086787307,3.2,592156.0879,201649.1896,103.4,0.8
prov49,43.78,-110.13,2728,0.2,2.68,102.5,298.9,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,27.89212255,5.140831089,2.92,629162.7526,201649.1896,103.4,0.9
prov50,41.68,-111.42,2469,3.7,1.95,102.9,306.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,41.63720886,4.960134453,5.02,713863.0818,201649.1896,103.4,0.5
prov51,41.88,-111.65,2637,3.2,2.98,102.9,303.1,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,37.01142624,4.991902115,4.82,684624.2659,201649.1896,103.4,0.5
prov52,41.88,-111.63,2438,4.1,2.94,102.6,304.5,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,41.83435369,4.930516049,4.82,685618.0468,201649.1896,103.4,0.8
prov53,41.88,-111.6,2103,5.2,2.6,101.6,304.5,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,51.15776703,4.851179738,4.82,687112.9458,201649.1896,103.4,1.8
prov54,41.68,-111.37,2301,4.8,1.94,102.1,304.9,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,44.01701634,4.971548237,5.02,716359.9748,201649.1896,103.4,1.3
prov55,40.78,-110.88,2789,3.1,2.77,102.2,303.8,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,34.4486342,4.917424641,5.92,821442.6664,201649.1896,103.4,1.2
prov56,40.75,-110.87,2941,2.3,2.84,104.3,305.6,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,27.4142086,4.905301633,5.95,824661.7425,201649.1896,103.4,-0.9
prov57,40.93,-110.67,3124,1.8,2.62,104,305,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,30.58521166,5.059253665,5.77,818180.1577,201649.1896,103.4,-0.6
prov58,36.73,-106.3,2972,2.8,2.48,103.9,314.4,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,48.0835007,4.470936715,9.97,1418204.506,201649.1896,103.4,-0.5
prov59,33.4,-105.78,2926,5.5,4.73,103.7,270,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,69.24442364,4.180173592,13.3,1755969.905,201649.1896,103.4,-0.3
prov60,35.33,-111.7,2774,4.9,3.19,102.6,316.3,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,30.85789031,3.936399086,11.37,1338260.603,201649.1896,103.4,0.8
prov61,40.72,-110.85,3178,1,2.94,102.2,302.7,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,23.72436036,4.901511035,5.98,828362.8204,201649.1896,103.4,1.2
prov62,40.78,-109.58,2835,2.5,2.85,100.8,302.5,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,32.75797363,5.067440151,5.92,887964.6078,201649.1896,103.4,2.6
prov63,40.77,-109.78,3048,1.8,3.05,106.2,305.1,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,25.42564356,4.993082119,5.93,878113.6827,201649.1896,103.4,-2.8
prov64,40.77,-109.83,3292,-0.2,3.05,103.4,301.4,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,15.431941,5.107224211,5.93,875462.9626,201649.1896,103.4,0
prov65,40.6,-110.02,2621,5.2,2.56,103,306,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,31.93453728,4.866420305,6.1,880416.4719,201649.1896,103.4,0.4
prov66,40.72,-110.03,2987,0.9,2.98,103.2,304.6,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,28.52755326,4.898194975,5.98,869342.8836,201649.1896,103.4,0.2
prov67,40.78,-110.02,3185,0.1,3.36,102.8,302.7,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,22.11974401,4.943862633,5.92,864612.4625,201649.1896,103.4,0.6
prov68,41.92,-113.4,2713,2.8,2.54,103.7,305.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,34.97788027,5.171779456,4.78,603672.9736,201649.1896,103.4,-0.3
prov69,41.43,-111.52,2728,2.4,2.37,101.9,304.6,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,38.83946972,4.941741351,5.27,731481.3846,201649.1896,103.4,1.5
prov70,40.48,-111,2743,3.9,2.29,103.2,304.6,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,32.83096174,4.852881716,6.22,843440.7609,201649.1896,103.4,0.2
prov71,40.48,-111.03,2880,3,2.24,102.8,304.8,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,31.96832987,4.893331368,6.22,842057.6033,201649.1896,103.4,0.6
prov72,39.03,-114.3,2987,4.2,2.39,104.4,305.5,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,31.07522594,5.178273801,7.67,880015.5607,201649.1896,103.4,-1
prov73,38.53,-112.08,3048,4,2.44,104.2,306.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,38.16270317,5.190195348,8.17,992778.2705,201649.1896,103.4,-0.8
prov74,38.52,-112.05,3139,3.2,2.45,102.5,305.5,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,35.87313945,5.226840458,8.18,994801.0322,201649.1896,103.4,0.9
prov75,38.53,-112.07,3383,2.2,2.45,103.3,304.5,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,35.36101272,5.266673807,8.17,993109.9763,201649.1896,103.4,0.1
prov76,38.63,-111.65,2804,3.6,2.45,102.2,306.1,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,45.8124747,4.825371042,8.07,997413.2265,201649.1896,103.4,1.2
prov77,38.43,-111.47,3109,2.9,2.06,102.7,305.7,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,27.95350738,4.90602377,8.27,1024113.295,201649.1896,103.4,0.7
prov78,38.48,-111.47,2850,3.9,2,102.9,306.9,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,37.06750179,4.811647055,8.22,1019063.887,201649.1896,103.4,0.5
prov79,38.47,-111.47,2972,3.3,2.04,104.3,307.9,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,34.5147507,4.839812575,8.23,1020073.36,201649.1896,103.4,-0.9
prov80,38.43,-111.47,3002,3.5,2.06,102.8,309.6,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,27.95350738,4.90602377,8.27,1024113.295,201649.1896,103.4,0.6
prov81,39.65,-110.33,2926,5,2.25,103.5,306.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,43.29342387,5.079108554,7.05,951872.4061,201649.1896,103.4,-0.1
prov82,39.25,-111.43,3139,1.5,2.23,102.6,303.8,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,29.23364872,4.887634903,7.45,943561.2817,201649.1896,103.4,0.8
prov83,39.17,-111.48,3261,1.2,2.41,103.1,305,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,30.65631878,4.870237077,7.53,949558.3859,201649.1896,103.4,0.3
prov84,38.48,-109.28,2957,4.4,2.58,103.3,307.9,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,53.10332389,5.151612111,8.22,1110223.797,201649.1896,103.4,0.1
prov85,38.47,-109.25,3063,4.8,3.09,102.2,308.3,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,35.57947701,5.339565816,8.23,1112559.063,201649.1896,103.4,1.2
prov86,38.03,-111.33,2941,4.7,1.62,103.5,306.7,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,50.91712993,4.891629301,8.67,1069633.23,201649.1896,103.4,-0.1
prov87,38.03,-112.18,3048,2.5,2.62,103.4,306.1,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,37.55952886,4.830957463,8.67,1041178.932,201649.1896,103.4,0
prov88,38,-112.23,3109,2.4,2.71,103.5,306,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,34.61914133,4.887518436,8.7,1042743.886,201649.1896,103.4,-0.1
prov89,38.02,-112.2,3231,1.6,2.61,103.1,304,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,32.94037411,4.936055736,8.68,1041594.491,201649.1896,103.4,0.3
prov90,37.95,-111.72,2850,5,1.96,103.2,307.7,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,43.63133051,4.859652669,8.75,1064307.516,201649.1896,103.4,0.2
prov91,37.97,-111.72,2987,4.1,1.98,103.7,305.6,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,42.57425824,4.861748404,8.73,1062255.048,201649.1896,103.4,-0.3
prov92,37.92,-111.87,3170,2.1,2.3,102.6,305.8,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,35.02228208,5.025191474,8.78,1062440.959,201649.1896,103.4,0.8
prov93,37.77,-107.97,2865,2.8,3.15,104.3,312.4,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,37.2957727,4.392598716,8.93,1238982.882,201649.1896,103.4,-0.9
prov94,37.75,-107.98,2957,2.7,3.18,102.2,306.7,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,38.77974307,4.380407636,8.95,1240333.292,201649.1896,103.4,1.2
prov95,37.78,-107.93,3078,0.8,2.97,103.5,307.7,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,37.30911969,4.384834185,8.92,1240035.058,201649.1896,103.4,-0.1
prov96,37.8,-107.92,3139,0.6,2.96,102.8,305.6,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,36.30005802,4.399693729,8.9,1238692.048,201649.1896,103.4,0.6
prov97,37.83,-107.88,2911,1.8,3.17,103.6,309.6,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,39.47714448,4.405676632,8.87,1237924.261,201649.1896,103.4,-0.2
prov98,39.13,-111.45,2926,3.8,2.53,102.4,304.9,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,36.40181782,4.79578872,7.57,954689.434,201649.1896,103.4,1
prov99,40.65,-111.12,2858,3,2.44,103.1,304.7,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,36.5770432,4.901226534,6.05,822076.9088,201649.1896,103.4,0.3
prov100,39.53,-106.22,3246,0.5,2.7,103.2,303,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,30.35919822,4.889431839,7.17,1183028.439,201649.1896,103.4,0.2
prov101,39.55,-106.25,3444,-0.4,2.67,103.7,303.5,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,29.96028932,4.906221,7.15,1179638.74,201649.1896,103.4,-0.3
prov102,39.53,-106.15,2957,2.1,2.67,102.5,310.9,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,31.96796365,4.882616736,7.17,1187228.024,201649.1896,103.4,0.9
prov103,39.67,-105.88,3597,0.7,2.8,102.7,301.4,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,B,NG PICEEN Rehfeldt 1994,25.7004041,4.994924912,7.03,1192586.104,201649.1896,103.4,0.7
prov1,39.249544,-123.768628,55,11.9,0.72,121.91,291.45,49.256067,-123.250025,35,2003,10.1,2.56,North America,North America,same,Picea sitchensis,gymnosperm,D,NG PICESI Mimura & Aitken 2007,59.23603742,2.985603469,10.006523,1112661.161,33386.33273,118.13,-3.78
prov2,42.012381,-124.211969,50,12.1,2.34,127.61,281.43,49.256067,-123.250025,35,2003,10.1,2.56,North America,North America,same,Picea sitchensis,gymnosperm,D,NG PICESI Mimura & Aitken 2007,54.92749345,2.668835358,7.243686,808560.3593,33386.33273,118.13,-9.48
prov3,47,-124,9,10.8,3.11,125.48,250.13,49.256067,-123.250025,35,2003,10.1,2.56,North America,North America,same,Picea sitchensis,gymnosperm,D,NG PICESI Mimura & Aitken 2007,81.22346238,3.082571932,2.256067,256991.8833,33386.33273,118.13,-7.35
prov4,49.003886,-123.001833,0,9.7,2.21,118.13,248.99,49.256067,-123.250025,35,2003,10.1,2.56,North America,North America,same,Picea sitchensis,gymnosperm,D,NG PICESI Mimura & Aitken 2007,NA,NA,0.252181,33386.33273,33386.33273,118.13,0
prov5,49.502769,-124.850856,58,8.8,2.27,116.48,244.64,49.256067,-123.250025,35,2003,10.1,2.56,North America,North America,same,Picea sitchensis,gymnosperm,D,NG PICESI Mimura & Aitken 2007,82.16422475,3.920738117,0.246702,119434.9992,33386.33273,118.13,1.65
prov6,52.502933,-128.237544,44,8.1,10.29,119.86,232.43,49.256067,-123.250025,35,2003,10.1,2.56,North America,North America,same,Picea sitchensis,gymnosperm,D,NG PICESI Mimura & Aitken 2007,53.29050304,3.570502424,3.246866,503438.2088,33386.33273,118.13,-1.73
prov7,53.000919,-131.947478,53,7.9,7.06,120.07,237.1,49.256067,-123.250025,35,2003,10.1,2.56,North America,North America,same,Picea sitchensis,gymnosperm,D,NG PICESI Mimura & Aitken 2007,54.78840664,2.674182474,3.744852,736951.8275,33386.33273,118.13,-1.94
prov8,53.499556,-130,22,8,7.8,120.6,223.52,49.256067,-123.250025,35,2003,10.1,2.56,North America,North America,same,Picea sitchensis,gymnosperm,D,NG PICESI Mimura & Aitken 2007,60.22338284,3.246974806,4.243489,665606.4534,33386.33273,118.13,-2.47
prov9,60.054233,-141.289728,57,3.3,11.41,121.78,178.65,49.256067,-123.250025,35,2003,10.1,2.56,North America,North America,same,Picea sitchensis,gymnosperm,D,NG PICESI Mimura & Aitken 2007,33.79562903,4.854722597,10.798166,1662835.894,33386.33273,118.13,-3.65
prov10,61.138864,-146.349544,50,1.4,8,118.44,178.17,49.256067,-123.250025,35,2003,10.1,2.56,North America,North America,same,Picea sitchensis,gymnosperm,D,NG PICESI Mimura & Aitken 2007,30.50890246,5.212837999,11.882797,1959089.565,33386.33273,118.13,-0.31
prov11,61,-147,6,3.6,13.02,121.7,178.54,49.256067,-123.250025,35,2003,10.1,2.56,North America,North America,same,Picea sitchensis,gymnosperm,D,NG PICESI Mimura & Aitken 2007,27.68331284,4.574071036,11.743933,1981099.888,33386.33273,118.13,-3.57
prov12,59.205089,-151.241825,49,3.8,3.41,123.51,181.61,49.256067,-123.250025,35,2003,10.1,2.56,North America,North America,same,Picea sitchensis,gymnosperm,D,NG PICESI Mimura & Aitken 2007,28.74463798,4.025545082,9.949022,2111446.818,33386.33273,118.13,-5.38
prov13,57.002,-153.307319,25,5.9,6.85,119.98,175.21,49.256067,-123.250025,35,2003,10.1,2.56,North America,North America,same,Picea sitchensis,gymnosperm,D,NG PICESI Mimura & Aitken 2007,26.40733347,3.423066786,7.745933,2166218.387,33386.33273,118.13,-1.85
prov14,55.9688,-133.6282,10,7.2,7.86,119.09,210.74,49.256067,-123.250025,35,2003,10.1,2.56,North America,North America,same,Picea sitchensis,gymnosperm,D,NG PICESI Mimura & Aitken 2007,47.41760136,3.603141192,6.712733,1023642.518,33386.33273,118.13,-0.96
prov15,55.9723,-131.965,10,6.9,8.27,118.47,205.44,49.256067,-123.250025,35,2003,10.1,2.56,North America,North America,same,Picea sitchensis,gymnosperm,D,NG PICESI Mimura & Aitken 2007,51.81417177,4.160750713,6.716233,950865.3013,33386.33273,118.13,-0.34
prov16,57.5162,-134.8496,10,6.4,5.75,120.77,197.83,49.256067,-123.250025,35,2003,10.1,2.56,North America,North America,same,Picea sitchensis,gymnosperm,D,NG PICESI Mimura & Aitken 2007,33.33496643,4.277109186,8.260133,1197001.337,33386.33273,118.13,-2.64
prov17,56.9455,-133.0122,10,6.3,7.96,121.81,190.44,49.256067,-123.250025,35,2003,10.1,2.56,North America,North America,same,Picea sitchensis,gymnosperm,D,NG PICESI Mimura & Aitken 2007,44.75102235,4.435781885,7.689433,1074764.644,33386.33273,118.13,-3.68
prov1,41.7983,-122.1575,2363,4,1.15,109.78,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,43.57752984,5.743268338,7.4217,828123.2235,98484.54768,97.61,-12.17
prov2,43.256,-122.682,2200,4.8,2.29,103.92,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,57.82963869,4.794268696,5.964,663714.4677,98484.54768,97.61,-6.31
prov3,50.096,-122.901,1908,0.6,4.47,97.61,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,19.45332099,5.14445785,0.876,98484.54768,98484.54768,97.61,0
prov4,46.635,-114.859,2062,1.7,4.52,99.17,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,22.96183666,4.738778634,2.585,679131.5361,98484.54768,97.61,-1.56
prov5,42.07,-120.24,2538,4.2,1.99,109.59,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,23.09674436,4.76513011,7.15,825201.1313,98484.54768,97.61,-11.98
prov6,50.533,-122.58,1800,0.5,2.58,94.92,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,22.44192881,5.420152504,1.313,150746.7879,98484.54768,97.61,2.69
prov7,42.3,-120.15,2462,3.9,1.67,106.92,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,23.20872983,4.838387119,6.92,802475.0048,98484.54768,97.61,-9.31
prov8,48.84,-116.512,1846,1.5,3.51,94.67,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,29.91653897,4.927701481,0.38,483460.9513,98484.54768,97.61,2.94
prov9,45.634,-115.947,2154,2.1,3.54,98.87,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,16.53210621,5.009904641,3.586,670497.5617,98484.54768,97.61,-1.26
prov10,46.869,-112.474,2338,2.3,2.83,99.38,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,23.81683688,5.401509839,2.351,833452.0808,98484.54768,97.61,-1.77
prov11,45.042,-109.451,2892,0.8,3.16,100.64,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,17.35161028,5.525574866,4.178,1132803.277,98484.54768,97.61,-3.03
prov12,51.267,-121.867,1846,0.9,2.53,91.43,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,18.97090421,5.722264801,2.047,244082.9261,98484.54768,97.61,6.18
prov13,51.1,-121.667,1900,0.5,2.11,89.98,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,20.15027915,5.605682415,1.88,232830.0359,98484.54768,97.61,7.63
prov14,45.4,-111.279,2154,3.6,4.04,92.43,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,30.30830371,5.311539184,3.82,988154.9842,98484.54768,97.61,5.18
prov15,48.379,-116.187,1846,2.1,5.19,100.88,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,26.91196645,5.104090639,0.841,516209.7309,98484.54768,97.61,-3.27
prov16,49.1,-120.671,2000,0.3,2.25,97.18,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,31.59155612,4.897554748,0.12,177658.4844,98484.54768,97.61,0.43
prov17,45.39,-121.656,1969,3.1,5.41,100.17,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,19.93313551,4.966142536,3.83,439562.7285,98484.54768,97.61,-2.56
prov18,45.895,-113.45,2400,0.3,3.9,93.93,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,21.67441499,5.098567102,3.325,814108.6237,98484.54768,97.61,3.68
prov19,43.72,-121.23,2100,2.8,2.29,106.46,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,30.28995768,5.199916161,5.5,627970.6371,98484.54768,97.61,-8.85
prov20,43.689,-121.254,2250,2.4,2.12,104.5,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,25.85482179,5.566700952,5.531,630917.5333,98484.54768,97.61,-6.89
prov21,42.51,-122.15,2462,3.3,2.23,103.61,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,20.68887108,4.64602116,6.71,749429.4156,98484.54768,97.61,-6
prov22,45.705,-112.925,2646,1.5,3.55,94.77,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,20.02244587,5.153854195,3.515,859989.9338,98484.54768,97.61,2.84
prov23,44.543,-111.409,2400,2.6,3.61,97.12,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,24.74403429,5.181890408,4.677,1030063.499,98484.54768,97.61,0.49
prov24,47.516,-112.797,2154,3.5,3.22,98.04,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,22.56653452,5.499894969,1.704,785855.7128,98484.54768,97.61,-0.43
prov25,49.71,-120.917,1785,1.9,4.62,94.78,NA,49.22,-123.1,53,2003,10.1,2.69,North America,North America,same,Pinus albicaulis,gymnosperm,C,NG PINUAL Bower and Aitken 2008,23.12560412,5.377592745,0.49,167355.5029,98484.54768,97.61,2.83
prov1,50.98,-126.12,0,8.9,8.4,69.1,237.08,49.256067,-123.250025,77,2010,10.1,2.55,North America,North America,same,Populus trichocarpa,angiosperm,D,NA POPUTR McKown et al. 2013,48.25680863,3.526725058,1.723933,280855.945,49726.32781,67.7,-1.4
prov2,52.42,-126.17,152,5.2,1.95,51.36,233.4,49.256067,-123.250025,77,2010,10.1,2.55,North America,North America,same,Populus trichocarpa,angiosperm,D,NA POPUTR McKown et al. 2013,65.14815501,4.84173401,3.163933,407586.849,49726.32781,67.7,16.34
prov3,52.38,-126.6,135,6.3,3.56,51.26,227.2,49.256067,-123.250025,77,2010,10.1,2.55,North America,North America,same,Populus trichocarpa,angiosperm,D,NA POPUTR McKown et al. 2013,77.08870391,4.648700437,3.123933,420021.9265,49726.32781,67.7,16.44
prov4,54.55,-126.83,561,3.5,2.08,83.13,177.45,49.256067,-123.250025,77,2010,10.1,2.55,North America,North America,same,Populus trichocarpa,angiosperm,D,NA POPUTR McKown et al. 2013,39.21596536,5.891915916,5.293933,638280.6288,49726.32781,67.7,-15.43
