prov_identifier,lat_prov,long_prov,elev_prov,MAT_prov,MSP100_prov,spring_event,fall_event,lat_garden,long_garden,elev_garden,year,MAT_garden,MSP100_garden,prov_continent,garden_continent,prov_garden_continent,species,species_type,garden_identifier,label,percentage,sd,distance_from_garden,distance_from_garden_min,spring_event_closest_prov,spring_event_difference
prov20,49.75,-125.12,250,8.2,2.56,86.2,241.1,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,75.14416067,3.988606891,0.5314,0.0186,85.8,-0.4
prov21,49.88,-123.18,250,7.9,3.88,83,241.6,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,75.73957619,4.313658308,0.6614,0.0186,85.8,2.8
prov22,49.97,-124.75,150,9.1,2.76,82.6,242.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,86.92565567,3.808006981,0.7514,0.0186,85.8,3.2
prov23,49.97,-126.25,1000,4.4,4.97,84.1,238.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,60.87271011,3.989587896,0.7514,0.0186,85.8,1.7
prov24,50.02,-126.82,200,8.4,8.67,83.4,239.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,52.1627489,4.030292391,0.8014,0.0186,85.8,2.4
prov25,50.07,-123.1,540,6.3,3.48,84,236.6,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,54.82384418,4.563374449,0.8514,0.0186,85.8,1.8
prov26,50.08,-125.53,100,9.1,2.66,84.4,238.9,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,59.01248318,4.161476439,0.8614,0.0186,85.8,1.4
prov27,50.17,-125.22,50,9,3.48,81.7,239.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,80.15404411,3.844240759,0.9514,0.0186,85.8,4.1
prov28,50.18,-126.43,250,8.4,5.53,81.8,240.2,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,60.29033791,3.899026433,0.9614,0.0186,85.8,4
prov29,50.22,-125.55,700,6.1,3.72,85.4,236.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,66.22940885,3.936051916,1.0014,0.0186,85.8,0.4
prov30,50.23,-125.72,250,7.7,3.26,84.8,238.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,74.4819103,3.762294665,1.0114,0.0186,85.8,1
prov31,50.23,-125.72,300,7.5,3.26,86.7,240.9,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,74.4819103,3.762294665,1.0114,0.0186,85.8,-0.9
prov32,50.35,-125.92,80,8.1,4.08,82.1,239.6,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,85.31107236,3.479880023,1.1314,0.0186,85.8,3.7
prov33,50.6,-128.25,30,8.9,7.28,88.1,240.6,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,60.66983068,2.455241578,1.3814,0.0186,85.8,-2.3
prov34,50.62,-127.25,37,8.3,4.14,83.7,240.9,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,73.23611779,2.98126526,1.4014,0.0186,85.8,2.1
prov35,50.67,-128.07,20,8.3,7.82,85.3,233.7,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,64.42223802,2.540163826,1.4514,0.0186,85.8,0.5
prov36,50.72,-127.98,170,7.8,8.61,85.4,233.1,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,53.85259556,2.879947462,1.5014,0.0186,85.8,0.4
prov37,51.5,-126.13,30,7,13.14,85.4,234.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,12.9327022,5.402322529,2.2814,0.0186,85.8,0.4
prov38,52.35,-131.35,1,8.6,6.38,84.8,233.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,58.37815274,2.761534331,3.1314,0.0186,85.8,1
prov39,52.37,-126.58,40,6.4,3.57,80.5,237.1,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,69.66396664,4.591097705,3.1514,0.0186,85.8,5.3
prov40,52.37,-126.92,30,7.5,5.56,81.6,235.3,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,58.64293418,4.314844764,3.1514,0.0186,85.8,4.2
prov41,52.43,-126.55,150,6.2,3.78,82.4,229.9,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,27.73399548,4.77572036,3.2114,0.0186,85.8,3.4
prov42,53.12,-131.67,10,7.9,3.42,80.8,232,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,56.80189062,2.727888512,3.9014,0.0186,85.8,5
prov43,53.13,-132.25,20,7.9,7.86,81.4,234.6,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,34.32935631,2.509032125,3.9114,0.0186,85.8,4.4
prov44,53.37,-132.45,100,7.7,7.72,80.3,238,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,46.74975106,2.687857503,4.1514,0.0186,85.8,5.5
prov45,53.85,-132.18,10,8,4.06,83.4,233.1,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,51.20640799,2.814810924,4.6314,0.0186,85.8,2.4
prov46,54.05,-132,10,7.3,4.23,81.7,235.5,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,NA,NA,4.8314,0.0186,85.8,4.1
prov47,54.25,-128.5,60,6.1,3.67,81.9,228.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,51.30521246,4.752835347,5.0314,0.0186,85.8,3.9
prov48,54.25,-129.55,10,6.6,8.92,80.8,231.1,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,27.12242535,4.910565189,5.0314,0.0186,85.8,5
prov49,54.25,-130.03,160,6.8,9.56,82.4,226.5,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,44.27306079,4.305806541,5.0314,0.0186,85.8,3.4
prov50,54.27,-130.27,46,8.1,8.61,80.2,231.3,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,59.22777984,3.34511659,5.0514,0.0186,85.8,5.6
prov51,54.32,-129.33,20,6.8,7.77,80.5,228.5,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,60.4886819,4.204433725,5.1014,0.0186,85.8,5.3
prov52,54.33,-129.28,10,5.3,5.72,78.7,234.7,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,63.80260363,4.278683638,5.1114,0.0186,85.8,7.1
prov53,54.43,-128.92,100,5.5,3.66,81.4,227.8,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,47.3919985,4.492525898,5.2114,0.0186,85.8,4.4
prov54,54.45,-128.48,100,5.6,3.61,81.7,230.4,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,58.92292244,4.93106193,5.2314,0.0186,85.8,4.1
prov55,54,-130,200,6.5,10.84,79,229.3,49.2186,-123.0548,93,1996,10.1,2.8,North America,North America,same,Alnus rubra,angiosperm,B,NA ALNURU Hamann et al. 1998,36.41442293,5.33804989,4.7814,0.0186,85.8,6.8
prov1,46.23,-113.77,2164,1.7,2.62,103.4,304.6,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,34.28694054,5.10443944,0.47,0.47,103.4,0
prov2,44.88,-114.3,2134,3.1,1.88,103.1,304.8,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,40.14888031,5.042589337,1.82,0.47,103.4,0.3
prov3,44.35,-115.22,2225,3.4,2.79,104.1,305.9,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,33.14910069,5.079624487,2.35,0.47,103.4,-0.7
prov4,44.52,-115.6,1859,3.5,2.46,103,305.8,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,30.74854661,5.075129311,2.18,0.47,103.4,0.4
prov5,45.05,-115.92,2073,3,3.72,103.4,306.5,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,39.04224364,4.815158952,1.65,0.47,103.4,0
prov6,44.63,-115.57,2195,2.3,2.59,103.2,305.7,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,31.33326545,5.110273797,2.07,0.47,103.4,0.2
prov7,44.63,-115.6,1920,3.8,2.66,104,309,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,28.86477659,5.162398573,2.07,0.47,103.4,-0.6
prov8,43.83,-114.62,2164,2.4,1.64,103.2,306.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,42.0064923,4.960362651,2.87,0.47,103.4,0.2
prov9,44.5,-114.4,2134,3.4,2.53,103.6,307.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,41.61425501,5.011651921,2.2,0.47,103.4,-0.2
prov10,43.83,-114.25,2438,1.9,2.62,103.7,304.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,29.32852661,5.067704762,2.87,0.47,103.4,-0.3
prov11,43.87,-114.72,2530,1.8,2.16,102,304.3,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,29.86679684,5.076492474,2.83,0.47,103.4,1.4
prov12,44.93,-109.52,2987,0.4,3.47,102.4,299.9,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,26.64138938,5.472099142,1.77,0.47,103.4,1
prov13,39.53,-111.25,2606,3.3,1.98,103.5,307.1,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,41.74650784,4.68953747,7.17,0.47,103.4,-0.1
prov14,39.57,-111.25,2667,3.3,2.01,102.6,306.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,38.65411652,4.709585306,7.13,0.47,103.4,0.8
prov15,43.82,-110.38,2240,1.7,2.26,101.6,304.4,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,40.65592666,5.238705121,2.88,0.47,103.4,1.8
prov16,43.77,-110.32,2393,1.8,2.46,102.1,302.9,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,35.04764717,5.209316414,2.93,0.47,103.4,1.3
prov17,43.8,-110.23,2591,1.5,2.52,102.7,303.4,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,30.34035202,5.166896757,2.9,0.47,103.4,0.7
prov18,43.43,-110.87,1935,3.9,2.05,102.7,307,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,51.0114093,5.149378612,3.27,0.47,103.4,0.7
prov19,43.43,-110.92,2057,3.8,2.64,103.2,306.5,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,50.48480849,5.129797016,3.27,0.47,103.4,0.2
prov20,43.42,-110.92,2195,2.9,2.51,102.4,305.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,47.71754782,5.076459127,3.28,0.47,103.4,1
prov21,43.17,-110.52,2210,0.5,1.97,101.5,304.7,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,41.35104903,5.098214575,3.53,0.47,103.4,1.9
prov22,43.18,-110.27,2347,0,1.85,102.3,304.4,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,39.82740631,5.237318266,3.52,0.47,103.4,1.1
prov23,43.07,-110.87,2012,3.4,2.35,102.5,305.1,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,41.76362855,4.960791329,3.63,0.47,103.4,0.9
prov24,42.73,-110.68,2225,2.8,2.6,102.4,303.5,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,40.22103751,5.007182287,3.97,0.47,103.4,1
prov25,42.67,-110.68,2332,2.1,2.51,101.9,303.4,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,39.73240572,4.997025916,4.03,0.47,103.4,1.5
prov26,42.57,-110.68,2560,0.9,2.46,102.2,302.8,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,34.83290844,4.92849945,4.13,0.47,103.4,1.2
prov27,42.53,-110.63,2743,0.3,2.49,101.7,302.5,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,26.23410566,4.914529891,4.17,0.47,103.4,1.7
prov28,41.9,-111.48,2408,4.2,2.33,102.1,304.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,44.03744981,4.851391626,4.8,0.47,103.4,1.3
prov29,41.58,-111.43,2560,3.2,2.37,102.7,304.8,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,37.7098844,4.986405937,5.12,0.47,103.4,0.7
prov30,40.62,-111.58,2560,4,2.41,102.7,305.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,38.32325119,5.008032873,6.08,0.47,103.4,0.7
prov31,40.58,-111.02,2499,4.2,2.24,102.9,306.9,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,46.03140145,4.781887261,6.12,0.47,103.4,0.5
prov32,40.63,-110.97,2652,2.9,2.66,103.2,304.9,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,33.99682539,4.847321438,6.07,0.47,103.4,0.2
prov33,40.28,-111.28,2637,2.8,2.16,102.1,305.7,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,41.9333379,4.976936371,6.42,0.47,103.4,1.3
prov34,39.83,-111.72,2835,3.4,2.31,102.3,306.7,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,44.09709035,5.13950303,6.87,0.47,103.4,1.1
prov35,39.6,-111.22,2606,3.6,2.09,103.3,305.2,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,38.7139887,4.727815059,7.1,0.47,103.4,0.1
prov36,39.45,-111.27,2682,3.4,2.27,102.4,304.4,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,40.59461038,4.709998343,7.25,0.47,103.4,1
prov37,39.6,-111.3,2758,3.2,2.09,101.9,305.4,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,31.76657656,4.800173628,7.1,0.47,103.4,1.5
prov38,39.13,-111.38,2926,4.9,2.42,102.9,306.1,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,33.06368644,4.839862133,7.57,0.47,103.4,0.5
prov39,38.22,-112.43,2926,3.6,2.79,104.6,306.8,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,43.95583914,4.798173353,8.48,0.47,103.4,-1.2
prov40,38.02,-111.72,2850,4.3,1.98,102.5,306.7,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,42.98763886,4.837424275,8.68,0.47,103.4,0.9
prov41,38.03,-111.68,2911,4.1,1.95,103.2,307,46.7,-117,690,N.A.,8.1,1.55,North America,North America,same,Picea engelmannii,gymnosperm,C,NG PICEEN Rehfeldt 1994,40.42612803,4.862319468,8.67,0.47,103.4,0.2
